n,ConditionsOfInterest,StandardValue1,StandardValue2,reps,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,power_Accuracy,power_Precision,power_Accuracy_Twolevel,power_Precision_Twolevel,Duration
10,2,5,8,100,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.23,1.0,0.3,801714 milliseconds
12,2,5,8,100,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.31,1.0,0.38,902812 milliseconds
14,2,5,8,100,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.33,1.0,0.37,1116528 milliseconds
16,2,5,8,100,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.36,1.0,0.49,1263111 milliseconds
18,2,5,8,100,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.48,1.0,0.52,1456161 milliseconds
20,2,5,8,100,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.52,1.0,0.54,1672919 milliseconds
10,2,5,8,100,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.06,1.0,0.11,764350 milliseconds
12,2,5,8,100,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.1,1.0,0.17,936330 milliseconds
14,2,5,8,100,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.07,1.0,0.15,1109121 milliseconds
16,2,5,8,100,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.16,1.0,0.18,1269103 milliseconds
18,2,5,8,100,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.1,1.0,0.14,1423358 milliseconds
20,2,5,8,100,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.16,1.0,0.19,1667813 milliseconds
10,2,5,8,100,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.07,1.0,0.08,722266 milliseconds
12,2,5,8,100,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.05,1.0,0.1,881187 milliseconds
14,2,5,8,100,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.05,1.0,0.05,1112253 milliseconds
16,2,5,8,100,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.06,1.0,0.08,1226588 milliseconds
18,2,5,8,100,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.01,1.0,0.05,1485658 milliseconds
20,2,5,8,100,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.03,1.0,0.04,1589089 milliseconds
10,2,5,8,100,-0.05,0.05,0,0.108,0.1,0.1,0.1,1.0,0.07,1.0,0.06,777126 milliseconds
12,2,5,8,100,-0.05,0.05,0,0.108,0.1,0.1,0.1,1.0,0.06,1.0,0.11,852357 milliseconds
14,2,5,8,100,-0.05,0.05,0,0.108,0.1,0.1,0.1,1.0,0.09,1.0,0.1,1085531 milliseconds
16,2,5,8,100,-0.05,0.05,0,0.108,0.1,0.1,0.1,1.0,0.08,1.0,0.12,1282316 milliseconds
18,2,5,8,100,-0.05,0.05,0,0.108,0.1,0.1,0.1,1.0,0.13,1.0,0.18,1420930 milliseconds
20,2,5,8,100,-0.05,0.05,0,0.108,0.1,0.1,0.1,1.0,0.1,1.0,0.12,1526333 milliseconds
10,2,5,8,100,-0.05,0.1,0,0.108,0.1,0.1,0.1,0.99,0.25,1.0,0.39,730150 milliseconds
12,2,5,8,100,-0.05,0.1,0,0.108,0.1,0.1,0.1,1.0,0.22,1.0,0.29,909387 milliseconds
14,2,5,8,100,-0.05,0.1,0,0.108,0.1,0.1,0.1,1.0,0.33,1.0,0.45,1033589 milliseconds
16,2,5,8,100,-0.05,0.1,0,0.108,0.1,0.1,0.1,1.0,0.3,1.0,0.39,1194520 milliseconds
18,2,5,8,100,-0.05,0.1,0,0.108,0.1,0.1,0.1,1.0,0.34,1.0,0.48,1448558 milliseconds
20,2,5,8,100,-0.05,0.1,0,0.108,0.1,0.1,0.1,1.0,0.47,1.0,0.54,1589218 milliseconds
10,2,5,8,100,-0.025,-0.1,0,0.108,0.1,0.1,0.1,0.94,0.27,0.82,0.34,773538 milliseconds
12,2,5,8,100,-0.025,-0.1,0,0.108,0.1,0.1,0.1,0.99,0.32,0.95,0.44,948140 milliseconds
14,2,5,8,100,-0.025,-0.1,0,0.108,0.1,0.1,0.1,0.98,0.29,0.97,0.4,1083989 milliseconds
16,2,5,8,100,-0.025,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.35,0.96,0.42,1337475 milliseconds
18,2,5,8,100,-0.025,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.45,0.99,0.51,1511542 milliseconds
20,2,5,8,100,-0.025,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.49,1.0,0.59,1637645 milliseconds
10,2,5,8,100,-0.025,-0.05,0,0.108,0.1,0.1,0.1,0.98,0.11,0.83,0.13,753553 milliseconds
12,2,5,8,100,-0.025,-0.05,0,0.108,0.1,0.1,0.1,0.97,0.13,0.91,0.14,903905 milliseconds
14,2,5,8,100,-0.025,-0.05,0,0.108,0.1,0.1,0.1,0.98,0.09,0.95,0.13,1107252 milliseconds
16,2,5,8,100,-0.025,-0.05,0,0.108,0.1,0.1,0.1,0.98,0.12,0.97,0.15,1280629 milliseconds
18,2,5,8,100,-0.025,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.08,0.98,0.11,1513549 milliseconds
20,2,5,8,100,-0.025,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.13,1.0,0.2,1692930 milliseconds
10,2,5,8,100,-0.025,0.0,0,0.108,0.1,0.1,0.1,0.94,0.07,0.79,0.08,749286 milliseconds
12,2,5,8,100,-0.025,0.0,0,0.108,0.1,0.1,0.1,0.96,0.06,0.93,0.05,914462 milliseconds
14,2,5,8,100,-0.025,0.0,0,0.108,0.1,0.1,0.1,0.99,0.02,0.94,0.05,1041976 milliseconds
16,2,5,8,100,-0.025,0.0,0,0.108,0.1,0.1,0.1,1.0,0.05,0.97,0.07,1284039 milliseconds
18,2,5,8,100,-0.025,0.0,0,0.108,0.1,0.1,0.1,1.0,0.03,1.0,0.05,1456504 milliseconds
20,2,5,8,100,-0.025,0.0,0,0.108,0.1,0.1,0.1,1.0,0.05,0.99,0.08,1646024 milliseconds
10,2,5,8,100,-0.025,0.05,0,0.108,0.1,0.1,0.1,0.88,0.08,0.81,0.11,726684 milliseconds
12,2,5,8,100,-0.025,0.05,0,0.108,0.1,0.1,0.1,0.92,0.11,0.82,0.13,924920 milliseconds
14,2,5,8,100,-0.025,0.05,0,0.108,0.1,0.1,0.1,0.98,0.1,0.94,0.12,1056882 milliseconds
16,2,5,8,100,-0.025,0.05,0,0.108,0.1,0.1,0.1,1.0,0.1,1.0,0.13,1248141 milliseconds
18,2,5,8,100,-0.025,0.05,0,0.108,0.1,0.1,0.1,0.97,0.11,0.98,0.15,1402664 milliseconds
20,2,5,8,100,-0.025,0.05,0,0.108,0.1,0.1,0.1,1.0,0.12,0.99,0.18,1589011 milliseconds
10,2,5,8,100,-0.025,0.1,0,0.108,0.1,0.1,0.1,0.89,0.17,0.8,0.23,734373 milliseconds
12,2,5,8,100,-0.025,0.1,0,0.108,0.1,0.1,0.1,0.91,0.21,0.87,0.3,850572 milliseconds
14,2,5,8,100,-0.025,0.1,0,0.108,0.1,0.1,0.1,0.95,0.29,0.95,0.34,1105790 milliseconds
16,2,5,8,100,-0.025,0.1,0,0.108,0.1,0.1,0.1,0.97,0.32,0.96,0.37,1219988 milliseconds
18,2,5,8,100,-0.025,0.1,0,0.108,0.1,0.1,0.1,0.99,0.39,0.95,0.5,1424245 milliseconds
20,2,5,8,100,-0.025,0.1,0,0.108,0.1,0.1,0.1,0.99,0.44,0.98,0.56,1514109 milliseconds
10,2,5,8,100,0.0,-0.1,0,0.108,0.1,0.1,0.1,0.01,0.28,0.0,0.36,782973 milliseconds
12,2,5,8,100,0.0,-0.1,0,0.108,0.1,0.1,0.1,0.0,0.34,0.0,0.43,913030 milliseconds
14,2,5,8,100,0.0,-0.1,0,0.108,0.1,0.1,0.1,0.03,0.4,0.0,0.45,1140325 milliseconds
16,2,5,8,100,0.0,-0.1,0,0.108,0.1,0.1,0.1,0.02,0.34,0.0,0.46,1290464 milliseconds
18,2,5,8,100,0.0,-0.1,0,0.108,0.1,0.1,0.1,0.01,0.48,0.0,0.54,1499076 milliseconds
20,2,5,8,100,0.0,-0.1,0,0.108,0.1,0.1,0.1,0.01,0.54,0.0,0.56,1690148 milliseconds
