n,ConditionsOfInterest,StandardValue1,StandardValue2,reps,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,power_Accuracy,power_Precision,power_Accuracy_Twolevel,power_Precision_Twolevel,Duration
10,2,5,8,40,-0.1,-0.5,0,0.108,0.1,0.1,0.1,1.0,1.0,1.0,1.0,224645 milliseconds
12,2,5,8,40,-0.1,-0.5,0,0.108,0.1,0.1,0.1,1.0,1.0,1.0,1.0,264920 milliseconds
14,2,5,8,40,-0.1,-0.5,0,0.108,0.1,0.1,0.1,1.0,1.0,1.0,1.0,310991 milliseconds
16,2,5,8,40,-0.1,-0.5,0,0.108,0.1,0.1,0.1,1.0,1.0,1.0,1.0,395385 milliseconds
18,2,5,8,40,-0.1,-0.5,0,0.108,0.1,0.1,0.1,1.0,1.0,1.0,1.0,464432 milliseconds
20,2,5,8,40,-0.1,-0.5,0,0.108,0.1,0.1,0.1,1.0,1.0,1.0,1.0,509469 milliseconds
10,2,5,8,40,-0.1,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.81,1.0,0.74,220128 milliseconds
12,2,5,8,40,-0.1,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.81,1.0,0.76,260961 milliseconds
14,2,5,8,40,-0.1,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.9,1.0,0.84,307161 milliseconds
16,2,5,8,40,-0.1,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.88,1.0,0.82,387493 milliseconds
18,2,5,8,40,-0.1,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.91,1.0,0.91,445907 milliseconds
20,2,5,8,40,-0.1,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.95,1.0,0.91,495888 milliseconds
10,2,5,8,40,-0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.24,1.0,0.06,215544 milliseconds
12,2,5,8,40,-0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.14,1.0,0.08,259128 milliseconds
14,2,5,8,40,-0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.2,1.0,0.1,302128 milliseconds
16,2,5,8,40,-0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.23,1.0,0.01,375182 milliseconds
18,2,5,8,40,-0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.24,1.0,0.06,427974 milliseconds
20,2,5,8,40,-0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.19,1.0,0.08,485858 milliseconds
10,2,5,8,40,-0.1,0.25,0,0.108,0.1,0.1,0.1,1.0,0.19,1.0,0.54,215045 milliseconds
12,2,5,8,40,-0.1,0.25,0,0.108,0.1,0.1,0.1,1.0,0.17,1.0,0.6,260491 milliseconds
14,2,5,8,40,-0.1,0.25,0,0.108,0.1,0.1,0.1,1.0,0.23,1.0,0.62,302884 milliseconds
16,2,5,8,40,-0.1,0.25,0,0.108,0.1,0.1,0.1,1.0,0.2,1.0,0.7,378688 milliseconds
18,2,5,8,40,-0.1,0.25,0,0.108,0.1,0.1,0.1,1.0,0.26,1.0,0.81,424719 milliseconds
20,2,5,8,40,-0.1,0.25,0,0.108,0.1,0.1,0.1,1.0,0.22,1.0,0.85,473406 milliseconds
10,2,5,8,40,-0.1,0.5,0,0.108,0.1,0.1,0.1,1.0,0.62,0.99,0.95,214604 milliseconds
