n,ConditionsOfInterest,StandardValue1,StandardValue2,reps,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,power_Accuracy,power_Precision,power_Accuracy_Twolevel,power_Precision_Twolevel,power_Accuracy_ANOVA,power_Precision_ANOVA,Duration
10,2,5,8,40,0.025,-0.1,0,0.108,0.1,0.2,0.2,0.6,0.14,0.14,0.19,0.0,0.01,399815 milliseconds
12,2,5,8,40,0.025,-0.1,0,0.108,0.1,0.2,0.2,0.75,0.15,0.26,0.17,0.0,0.03,470335 milliseconds
14,2,5,8,40,0.025,-0.1,0,0.108,0.1,0.2,0.2,0.8,0.22,0.34,0.2,0.0,0.01,565480 milliseconds
16,2,5,8,40,0.025,-0.1,0,0.108,0.1,0.2,0.2,0.81,0.26,0.29,0.26,0.0,0.0,806351 milliseconds
18,2,5,8,40,0.025,-0.1,0,0.108,0.1,0.2,0.2,0.87,0.16,0.36,0.21,0.0,0.03,957811 milliseconds
20,2,5,8,40,0.025,-0.1,0,0.108,0.1,0.2,0.2,0.88,0.21,0.47,0.22,0.0,0.02,1182544 milliseconds
10,2,5,8,40,0.025,-0.05,0,0.108,0.1,0.2,0.2,0.7,0.1,0.21,0.07,0.0,0.03,437016 milliseconds
12,2,5,8,40,0.025,-0.05,0,0.108,0.1,0.2,0.2,0.61,0.13,0.19,0.08,0.0,0.02,524875 milliseconds
14,2,5,8,40,0.025,-0.05,0,0.108,0.1,0.2,0.2,0.75,0.11,0.2,0.09,0.0,0.0,633176 milliseconds
16,2,5,8,40,0.025,-0.05,0,0.108,0.1,0.2,0.2,0.84,0.11,0.37,0.08,0.0,0.01,891608 milliseconds
18,2,5,8,40,0.025,-0.05,0,0.108,0.1,0.2,0.2,0.91,0.11,0.46,0.12,0.0,0.02,978778 milliseconds
20,2,5,8,40,0.025,-0.05,0,0.108,0.1,0.2,0.2,0.92,0.14,0.46,0.05,0.0,0.01,1150715 milliseconds
10,2,5,8,40,0.025,0.0,0,0.108,0.1,0.2,0.2,0.58,0.05,0.13,0.07,0.0,0.0,409914 milliseconds
12,2,5,8,40,0.025,0.0,0,0.108,0.1,0.2,0.2,0.67,0.03,0.15,0.07,0.0,0.01,530904 milliseconds
14,2,5,8,40,0.025,0.0,0,0.108,0.1,0.2,0.2,0.8,0.08,0.31,0.05,0.0,0.02,558657 milliseconds
