n,ConditionsOfInterest,StandardValue1,StandardValue2,reps,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,power_Accuracy,power_Precision,power_Accuracy_Twolevel,power_Precision_Twolevel,Duration
10,2,5,8,60,-0.1,-0.5,0,0.108,0.1,0.1,0.1,1.0,1.0,1.0,1.0,256828 milliseconds
12,2,5,8,60,-0.1,-0.5,0,0.108,0.1,0.1,0.1,1.0,1.0,1.0,1.0,337186 milliseconds
14,2,5,8,60,-0.1,-0.5,0,0.108,0.1,0.1,0.1,1.0,1.0,1.0,1.0,395444 milliseconds
16,2,5,8,60,-0.1,-0.5,0,0.108,0.1,0.1,0.1,1.0,1.0,1.0,1.0,487961 milliseconds
18,2,5,8,60,-0.1,-0.5,0,0.108,0.1,0.1,0.1,1.0,1.0,1.0,1.0,1245759 milliseconds
20,2,5,8,60,-0.1,-0.5,0,0.108,0.1,0.1,0.1,1.0,1.0,1.0,1.0,1186559 milliseconds
10,2,5,8,60,-0.1,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.95,1.0,0.91,373126 milliseconds
12,2,5,8,60,-0.1,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.94,1.0,0.95,502697 milliseconds
14,2,5,8,60,-0.1,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.92,1.0,0.9,392121 milliseconds
16,2,5,8,60,-0.1,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.96,1.0,1.0,433798 milliseconds
18,2,5,8,60,-0.1,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.99,1.0,0.99,498906 milliseconds
20,2,5,8,60,-0.1,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.99,1.0,1.0,529416 milliseconds
10,2,5,8,60,-0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.21,1.0,0.05,235397 milliseconds
12,2,5,8,60,-0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.18,1.0,0.08,308875 milliseconds
14,2,5,8,60,-0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.27,1.0,0.08,485846 milliseconds
16,2,5,8,60,-0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.21,1.0,0.08,567630 milliseconds
18,2,5,8,60,-0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.32,1.0,0.01,541288 milliseconds
20,2,5,8,60,-0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.33,1.0,0.03,619594 milliseconds
10,2,5,8,60,-0.1,0.25,0,0.108,0.1,0.1,0.1,1.0,0.32,1.0,0.69,239405 milliseconds
12,2,5,8,60,-0.1,0.25,0,0.108,0.1,0.1,0.1,1.0,0.25,1.0,0.78,305996 milliseconds
14,2,5,8,60,-0.1,0.25,0,0.108,0.1,0.1,0.1,1.0,0.21,1.0,0.81,362073 milliseconds
16,2,5,8,60,-0.1,0.25,0,0.108,0.1,0.1,0.1,1.0,0.26,1.0,0.86,409450 milliseconds
18,2,5,8,60,-0.1,0.25,0,0.108,0.1,0.1,0.1,1.0,0.32,1.0,0.88,465429 milliseconds
20,2,5,8,60,-0.1,0.25,0,0.108,0.1,0.1,0.1,1.0,0.27,1.0,0.95,524791 milliseconds
