n,ConditionsOfInterest,StandardValue1,StandardValue2,reps,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,power_Accuracy,power_Precision,Duration
10,2,5,8,30,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.3,4289 milliseconds
12,2,5,8,30,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.5,5652 milliseconds
14,2,5,8,30,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.7,6500 milliseconds
16,2,5,8,30,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.5,7653 milliseconds
18,2,5,8,30,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.4,14744 milliseconds
20,2,5,8,30,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.9,12203 milliseconds
10,2,5,8,40,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.5,7975 milliseconds
12,2,5,8,40,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.8,8631 milliseconds
14,2,5,8,40,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.9,10859 milliseconds
16,2,5,8,40,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.7,19702 milliseconds
18,2,5,8,40,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.9,21261 milliseconds
20,2,5,8,40,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.6,20802 milliseconds
10,2,5,8,50,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.8,8564 milliseconds
12,2,5,8,50,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.8,10671 milliseconds
14,2,5,8,50,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.8,22161 milliseconds
16,2,5,8,50,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.6,21991 milliseconds
18,2,5,8,50,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.8,21249 milliseconds
20,2,5,8,50,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.7,25293 milliseconds
10,2,5,8,60,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.8,11389 milliseconds
12,2,5,8,60,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.9,19842 milliseconds
14,2,5,8,60,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.8,23891 milliseconds
16,2,5,8,60,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.9,29082 milliseconds
18,2,5,8,60,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.9,37124 milliseconds
20,2,5,8,60,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.9,36088 milliseconds
