iteration,reps,n,label,AIC,Pvalues_Accuracy,Pvalues_Interaction,Duration,Coefficients_Accuracy,Coefficients_Interaction,SEs_Accuracy,SEs_Interaction,ConditionsOfInterest,StandardValue1,StandardValue2,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,Program,Duration_SimulateDataset
1,30,10,NelderMead_nAGQ0,1209.734518709859,0.23945832979725318,1.084599615236987e-5,1.365346908569336,-0.2967854914647042,-0.6720039806048899,0.2522952925195523,0.1527427138382223,2,5,8,-0.025,0.5,0,0.108,0.1,0.2,0.2,R,0.01795220375061035
1,30,10,NelderMead_nAGQ1,1209.7096415648346,0.29313877727516585,0.0020107651953041863,5.407588958740234,-0.297140838055848,-0.6836146726937522,0.28265184842021684,0.22133210495944672,2,5,8,-0.025,0.5,0,0.108,0.1,0.2,0.2,R,0.01795220375061035
1,30,10,Bobyqa_nAGQ0,1209.734518709859,0.23945832979725318,1.084599615236987e-5,1.3483929634094238,-0.2967854914647042,-0.6720039806048899,0.2522952925195523,0.1527427138382223,2,5,8,-0.025,0.5,0,0.108,0.1,0.2,0.2,R,0.01795220375061035
1,30,10,Bobyqa_nAGQ1,1209.7095469463402,0.29276344598870113,0.0020094346865342553,3.0029749870300293,-0.29738027670029693,-0.6836233285155707,0.2826597270135165,0.22132081517277283,2,5,8,-0.025,0.5,0,0.108,0.1,0.2,0.2,R,0.01795220375061035
1,30,10,nloptwrap_nAGQ0,1209.7345202348947,0.2394725748209921,1.0846793536802148e-5,0.522611141204834,-0.2967602463175627,-0.6719661499261447,0.25228147982952254,0.1527346690100599,2,5,8,-0.025,0.5,0,0.108,0.1,0.2,0.2,R,0.01795220375061035
1,30,10,nloptwrap_nAGQ1,1209.7318116256179,0.29388146537361304,0.0022870083802234964,1.1808531284332275,-0.2967602463175627,-0.6719661499261447,0.2827244557957877,0.22030344509977984,2,5,8,-0.025,0.5,0,0.108,0.1,0.2,0.2,R,0.01795220375061035
1,30,10,R: LRT,0.0,0.0,0.0012955975415742445,0.27024388313293457,0.0,0.0,0.0,0.0,2,5,8,-0.025,0.5,0,0.108,0.1,0.2,0.2,R,0.01795220375061035
1,30,10,JuliaAIC_NeldMeader_AGP0,1209.7321639129145,0.23937132462225763,1.0839800219370446e-5,2.677,-0.29688863701559537,-0.6721314164465781,0.2523362463753928,0.15276737327812903,2,5,8,-0.025,0.5,0,0.108,0.1,0.2,0.2,Julia,0.01795220375061035
1,30,10,JuliaAIC_bobyqa_AGP0,1209.732164094888,0.2393641710614248,1.083281281768134e-5,0.393,-0.2974942196689334,-0.6838400459364937,0.25278399189438355,0.15328623902517458,2,5,8,-0.025,0.5,0,0.108,0.1,0.2,0.2,Julia,0.01795220375061035
1,30,10,JuliaAIC_NeldMeader_AGP1,1209.7093954748696,0.23924688747504322,8.150328113596536e-6,8.966,-0.29867146010084755,-0.6876938625558798,0.25324658864512684,0.15365162486507403,2,5,8,-0.025,0.5,0,0.108,0.1,0.2,0.2,Julia,0.01795220375061035
1,30,10,JuliaAIC_bobyqa_AGP1,1209.9409719560417,0.23825082709633705,7.617230555129854e-6,0.763,-0.2969044263718596,-0.6721527163913257,0.25234582425148955,0.15276735575845424,2,5,8,-0.025,0.5,0,0.108,0.1,0.2,0.2,Julia,0.01795220375061035
1,30,10,JuliaLRT_Fast,0.0,0.0,0.0015165184713394366,3.36,0.0,0.0,0.0,0.0,2,5,8,-0.025,0.5,0,0.108,0.1,0.2,0.2,Julia,0.01795220375061035
1,30,10,JuliaLRT_Slow,0.0,0.0,0.001711803156162774,0.605,0.0,0.0,0.0,0.0,2,5,8,-0.025,0.5,0,0.108,0.1,0.2,0.2,Julia,0.01795220375061035
2,30,10,NelderMead_nAGQ0,1130.4859016493833,0.6981214031911729,3.123795573496951e-5,0.9773881435394287,-0.10583585615329966,-0.7382718137072641,0.27287295928731353,0.1772881203812111,2,5,8,-0.025,0.5,0,0.108,0.1,0.2,0.2,R,0.017919063568115234
2,30,10,NelderMead_nAGQ1,1130.4666277508081,0.7092522529193618,0.002228329799949631,17.625673055648804,-0.10242182936142397,-0.7529591459463724,0.27469206947275093,0.24622746385834374,2,5,8,-0.025,0.5,0,0.108,0.1,0.2,0.2,R,0.017919063568115234
2,30,10,Bobyqa_nAGQ0,1130.4859016493833,0.6981214031911729,3.123795573496951e-5,0.9225330352783203,-0.10583585615329966,-0.7382718137072641,0.27287295928731353,0.1772881203812111,2,5,8,-0.025,0.5,0,0.108,0.1,0.2,0.2,R,0.017919063568115234
2,30,10,Bobyqa_nAGQ1,1130.4661883971733,0.7096722330880199,0.002225366370280625,2.4484479427337646,-0.10218422593051357,-0.7530770334928647,0.2744701425766504,0.24623390529537104,2,5,8,-0.025,0.5,0,0.108,0.1,0.2,0.2,R,0.017919063568115234
2,30,10,nloptwrap_nAGQ0,1130.3130658565597,0.6968151967428744,3.132886563293448e-5,0.6851670742034912,-0.10615568687442717,-0.7384965067262824,0.27245730700710646,0.17737032413410703,2,5,8,-0.025,0.5,0,0.108,0.1,0.2,0.2,R,0.017919063568115234
2,30,10,nloptwrap_nAGQ1,1130.2934600833983,0.6960201689184777,0.0022228021773409664,1.537886142730713,-0.10704112655508634,-0.753679296717282,0.2739737911147102,0.24640299691727435,2,5,8,-0.025,0.5,0,0.108,0.1,0.2,0.2,R,0.017919063568115234
