iteration,reps,n,label,AIC,Pvalues_Accuracy,Pvalues_Interaction,Duration,Coefficients_Accuracy,Coefficients_Interaction,ConditionsOfInterest,StandardValue1,StandardValue2,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,Program,Duration_SimulateDataset
1,30,10,NelderMead_nAGQ0,956.3654017,0.305782626,0.011464487,1.502442122,-0.185282614,-0.451135465,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.015627861
1,30,10,NelderMead_nAGQ1,956.356689,0.373795635,0.126573573,4.051085949,-0.187717166,-0.457495023,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.015627861
1,30,10,Bobyqa_nAGQ0,956.3654017,0.305782626,0.011464487,1.54206109,-0.185282614,-0.451135465,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.015627861
1,30,10,Bobyqa_nAGQ1,956.356689,0.373789839,0.126565733,3.338056087,-0.18771673,-0.457497089,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.015627861
1,30,10,nloptwrap_nAGQ0,955.3796822,0.300228116,0.011988765,0.934226036,-0.188141809,-0.450577221,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.015627861
1,30,10,nloptwrap_nAGQ1,955.3696467,0.366189598,0.129397346,1.704161167,-0.191725722,-0.453292545,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.015627861
1,30,10,R: LRT,0,0,0.068585513,0.608381987,0,0,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.015627861
1,30,10,JuliaAIC_NeldMeader_AGP0,955.3796755,0.300223014,0.01199037,3.954,-0.188145204,-0.450571151,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.015627861
1,30,10,JuliaAIC_bobyqa_AGP0,955.3796755,0.300250578,0.011985214,0.5,-0.189855745,-0.45706085,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.015627861
1,30,10,JuliaAIC_NeldMeader_AGP1,955.3692874,0.296338678,0.010952497,7.66,-0.187220407,-0.459312051,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.015627861
1,30,10,JuliaAIC_bobyqa_AGP1,955.3694405,0.30322063,0.010579809,5.808,-0.188134263,-0.450597663,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.015627861
1,30,10,JuliaLRT,0,0,0.126849978,3.392,0,0,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.015627861
2,30,10,NelderMead_nAGQ0,1019.476753,0.166093523,0.114632684,4.797116041,-0.295522621,-0.221162332,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.015799046
2,30,10,NelderMead_nAGQ1,1019.447989,0.285555756,0.396783488,6.920589924,-0.29391274,-0.225980952,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.015799046
2,30,10,Bobyqa_nAGQ0,1019.476753,0.166093523,0.114632684,4.76505208,-0.295522621,-0.221162332,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.015799046
2,30,10,Bobyqa_nAGQ1,1019.447988,0.285537253,0.396754753,7.562732935,-0.293922791,-0.225992846,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.015799046
2,30,10,nloptwrap_nAGQ0,1019.499869,0.166967457,0.115317308,0.515082836,-0.294895546,-0.220658171,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.015799046
2,30,10,nloptwrap_nAGQ1,1019.471618,0.285916075,0.397169885,2.280668974,-0.293497736,-0.22567752,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.015799046
2,30,10,R: LRT,0,0,0.401400179,0.453099966,0,0,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.015799046
2,30,10,JuliaAIC_NeldMeader_AGP0,1019.476747,0.166085328,0.114619077,4.906,-0.295529151,-0.2211712,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.015799046
2,30,10,JuliaAIC_bobyqa_AGP0,1019.476747,0.166095882,0.114636803,1.048,-0.29409574,-0.226201296,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.015799046
2,30,10,JuliaAIC_NeldMeader_AGP1,1019.447801,0.168742767,0.107118138,28.604,-0.293450458,-0.225715596,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.015799046
2,30,10,JuliaAIC_bobyqa_AGP1,1019.471435,0.169631872,0.10771752,1.139,-0.295520639,-0.221159694,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.015799046
2,30,10,JuliaLRT,0,0,0.40298521,0.626,0,0,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.015799046
3,30,10,NelderMead_nAGQ0,942.1048139,0.000683963,0.835566077,2.155822039,-0.591247671,-0.029283037,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.015659094
3,30,10,NelderMead_nAGQ1,942.0527376,0.000802956,0.903184828,10.85897803,-0.605309249,-0.031336986,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.015659094
3,30,10,Bobyqa_nAGQ0,942.1048139,0.000683963,0.835566077,2.16716218,-0.591247671,-0.029283037,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.015659094
3,30,10,Bobyqa_nAGQ1,942.0527375,0.000802975,0.903151775,4.233256817,-0.605312357,-0.031349216,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.015659094
3,30,10,nloptwrap_nAGQ0,942.1048142,0.000683739,0.835895413,0.858649969,-0.591262269,-0.029223661,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.015659094
3,30,10,nloptwrap_nAGQ1,942.0527379,0.00101433,0.908639137,2.011623859,-0.605264913,-0.031454732,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.015659094
3,30,10,R: LRT,0,0,1,0.783360958,0,0,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.015659094
3,30,10,JuliaAIC_NeldMeader_AGP0,942.0567176,0.000633595,0.72647077,2.733,-0.59747671,-0.049196112,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.015659094
3,30,10,JuliaAIC_bobyqa_AGP0,942.0567179,0.000633618,0.726508416,0.787,-0.614203099,-0.051796884,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.015659094
3,30,10,JuliaAIC_NeldMeader_AGP1,942.0047916,0.00045891,0.713250042,12.875,-0.612276106,-0.072412,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.015659094
3,30,10,JuliaAIC_bobyqa_AGP1,942.4199272,0.000503241,0.608081933,3.671,-0.597474768,-0.049189221,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.015659094
3,30,10,JuliaLRT,0,0,0.853909092,0.683,0,0,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.015659094
4,30,10,NelderMead_nAGQ0,986.7117384,0.10098648,0.000663758,2.233978987,-0.352216166,-0.290536858,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.015621901
4,30,10,NelderMead_nAGQ1,986.6796492,0.108385372,0.165830252,8.248647928,-0.358620756,-0.297773932,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.015621901
4,30,10,Bobyqa_nAGQ0,986.7117384,0.10098648,0.000663758,2.191612005,-0.352216166,-0.290536858,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.015621901
4,30,10,Bobyqa_nAGQ1,986.6796483,0.10813011,0.163222839,4.374646902,-0.358658766,-0.297795703,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.015621901
4,30,10,nloptwrap_nAGQ0,985.9958458,0.12672882,0.000377548,0.842869043,-0.356544372,-0.302884779,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.015621901
4,30,10,nloptwrap_nAGQ1,985.9590924,0.124010557,0.138018766,1.86665082,-0.371309061,-0.310536423,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.015621901
4,30,10,R: LRT,0,0,0.181756482,0.85306406,0,0,2,5,8,0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.015621901
