iteration,reps,n,label,AIC,Pvalues_Accuracy,Pvalues_Interaction,Duration,Coefficients_Accuracy,Coefficients_Interaction,ConditionsOfInterest,StandardValue1,StandardValue2,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,Program,Duration_SimulateDataset
1,30,10,NelderMead_nAGQ0,960.8287622401341,0.30610158474658966,0.582217154936997,3.3700618743896484,-0.17523151835716305,0.10265128513426393,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.035867929458618164
1,30,10,NelderMead_nAGQ1,960.8042863244217,0.31358013101025944,0.7605668418180522,9.165016174316406,-0.17740467898238493,0.10364146762649704,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.035867929458618164
1,30,10,Bobyqa_nAGQ0,960.8287622401341,0.30610158474658966,0.582217154936997,3.1685099601745605,-0.17523151835716305,0.10265128513426393,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.035867929458618164
1,30,10,Bobyqa_nAGQ1,960.8042690928421,0.31357306682930886,0.7610530397835545,5.649884939193726,-0.17741935405463707,0.10342511955111727,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.035867929458618164
1,30,10,nloptwrap_nAGQ0,960.8288112942391,0.3062036886601017,0.5834789174458644,0.8367629051208496,-0.17523363724307256,0.1023068040483333,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.035867929458618164
1,30,10,nloptwrap_nAGQ1,960.8058023383155,0.31988318045969466,0.7724614601627293,1.8869249820709229,-0.17542809364139988,0.0983609528491885,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.035867929458618164
1,30,10,R: LRT,0.0,0.0,0.972398042678833,0.972398042678833,0.0,0.0,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.035867929458618164
1,30,10,JuliaAIC_NeldMeader_AGP0,960.8287572323475,0.30610806161734394,0.5822552375396804,13.946,-0.17523016881658984,0.10264102154762296,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,Julia,0.035867929458618164
1,30,10,JuliaAIC_bobyqa_AGP0,960.8287578155293,0.30607512938527465,0.5820420677266105,0.364,-0.17746691800116865,0.10347958030485103,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,Julia,0.035867929458618164
1,30,10,JuliaAIC_NeldMeader_AGP1,960.8042243807977,0.3009168201359947,0.5805456408505688,25.363,-0.12226745104299429,0.06008215484866297,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,Julia,0.035867929458618164
1,30,10,JuliaAIC_bobyqa_AGP1,960.9061325379363,0.48221985237230863,0.7481510333784837,5.239,-0.1752370775812821,0.10269919265926626,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,Julia,0.035867929458618164
1,30,10,JuliaLRT,0.0,0.0,0.7624742740357613,4.551,0.0,0.0,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,Julia,0.035867929458618164
2,30,10,NelderMead_nAGQ0,984.7584142040014,0.0059916692021022575,0.45133385705574836,1.8470709323883057,-0.636647060847281,-0.17678347950762102,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.007987022399902344
2,30,10,NelderMead_nAGQ1,984.7433461647801,0.006114240241669736,0.5654753692436514,8.574735164642334,-0.651924376452534,-0.18020865122301544,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.007987022399902344
2,30,10,Bobyqa_nAGQ0,984.7584142040014,0.0059916692021022575,0.45133385705574836,1.7343299388885498,-0.636647060847281,-0.17678347950762102,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.007987022399902344
2,30,10,Bobyqa_nAGQ1,984.7431406954641,0.006079562020054372,0.5652971996590915,3.9534318447113037,-0.6523319462302367,-0.1802891263393627,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.007987022399902344
2,30,10,nloptwrap_nAGQ0,985.6823532135902,0.0011606826993560187,0.5443987921166873,0.5794849395751953,-0.6437039623933256,-0.14153150561212902,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.007987022399902344
2,30,10,nloptwrap_nAGQ1,985.6663414386201,0.0013333391758695516,0.6333963625795189,1.7263848781585693,-0.6575042341606014,-0.14735006257679323,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.007987022399902344
2,30,10,R: LRT,0.0,0.0,0.7270219326019287,0.7270219326019287,0.0,0.0,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.007987022399902344
2,30,10,JuliaAIC_NeldMeader_AGP0,984.7568574708864,0.005993627679229801,0.45110105756279073,5.042,-0.6366189070615518,-0.1768863908607391,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,Julia,0.007987022399902344
2,30,10,JuliaAIC_bobyqa_AGP0,984.7568549851836,0.005992208179112871,0.4510829283003543,0.59,-0.6521961895904034,-0.18041008281353038,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,Julia,0.007987022399902344
2,30,10,JuliaAIC_NeldMeader_AGP1,984.7433119006375,0.00486545646665388,0.44311339454257453,9.692,-0.6512608963521904,-0.1828863576946653,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,Julia,0.007987022399902344
2,30,10,JuliaAIC_bobyqa_AGP1,984.7431936490359,0.004961126235813513,0.4368828106336091,1.052,-0.6366175952378824,-0.1768940478501406,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,Julia,0.007987022399902344
2,30,10,JuliaLRT,0.0,0.0,0.5093235618205527,0.476,0.0,0.0,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,Julia,0.007987022399902344
3,30,10,NelderMead_nAGQ0,1055.3316924118126,0.20756556133740167,0.26076214581588886,3.992327928543091,-0.30166606614925523,-0.21081806420659885,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.0069980621337890625
