n,ConditionsOfInterest,StandardValue1,StandardValue2,reps,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,power_Accuracy,power_Precision,power_Accuracy_Twolevel,power_Precision_Twolevel,power_Accuracy_ANOVA,power_Precision_ANOVA,Duration
10,2,5,8,40,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.11,0.98,0.08,0.17,0.07,285994 milliseconds
12,2,5,8,40,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.15,1.0,0.14,0.2,0.08,296154 milliseconds
14,2,5,8,40,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.17,1.0,0.16,0.4,0.1,341245 milliseconds
16,2,5,8,40,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.21,1.0,0.17,0.46,0.14,428073 milliseconds
18,2,5,8,40,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.25,1.0,0.23,0.59,0.2,499801 milliseconds
20,2,5,8,40,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.24,1.0,0.24,0.61,0.2,532707 milliseconds
10,2,5,8,40,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.09,0.99,0.13,0.22,0.11,243458 milliseconds
12,2,5,8,40,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.15,1.0,0.13,0.25,0.09,292188 milliseconds
14,2,5,8,40,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.1,1.0,0.1,0.34,0.09,348144 milliseconds
16,2,5,8,40,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.09,1.0,0.05,0.5,0.04,426496 milliseconds
18,2,5,8,40,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.12,1.0,0.12,0.56,0.11,486638 milliseconds
20,2,5,8,40,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.21,1.0,0.08,0.63,0.06,542238 milliseconds
10,2,5,8,40,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.11,1.0,0.07,0.18,0.04,243668 milliseconds
12,2,5,8,40,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.06,0.99,0.09,0.24,0.06,290623 milliseconds
14,2,5,8,40,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.03,1.0,0.06,0.39,0.03,347808 milliseconds
16,2,5,8,40,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.05,1.0,0.06,0.44,0.05,416755 milliseconds
18,2,5,8,40,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.08,1.0,0.04,0.62,0.03,480999 milliseconds
20,2,5,8,40,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.08,1.0,0.07,0.63,0.05,535538 milliseconds
10,2,5,8,40,-0.05,0.05,0,0.108,0.1,0.1,0.1,0.99,0.04,0.98,0.07,0.22,0.06,242565 milliseconds
12,2,5,8,40,-0.05,0.05,0,0.108,0.1,0.1,0.1,1.0,0.05,1.0,0.13,0.26,0.06,288846 milliseconds
14,2,5,8,40,-0.05,0.05,0,0.108,0.1,0.1,0.1,1.0,0.1,1.0,0.13,0.32,0.1,342335 milliseconds
16,2,5,8,40,-0.05,0.05,0,0.108,0.1,0.1,0.1,1.0,0.06,1.0,0.15,0.45,0.12,423892 milliseconds
18,2,5,8,40,-0.05,0.05,0,0.108,0.1,0.1,0.1,1.0,0.07,1.0,0.1,0.58,0.08,480342 milliseconds
20,2,5,8,40,-0.05,0.05,0,0.108,0.1,0.1,0.1,1.0,0.04,1.0,0.08,0.62,0.08,531788 milliseconds
10,2,5,8,40,-0.05,0.1,0,0.108,0.1,0.1,0.1,1.0,0.05,1.0,0.14,0.16,0.11,241640 milliseconds
12,2,5,8,40,-0.05,0.1,0,0.108,0.1,0.1,0.1,1.0,0.04,1.0,0.19,0.31,0.15,289098 milliseconds
14,2,5,8,40,-0.05,0.1,0,0.108,0.1,0.1,0.1,1.0,0.06,1.0,0.18,0.28,0.16,340280 milliseconds
16,2,5,8,40,-0.05,0.1,0,0.108,0.1,0.1,0.1,1.0,0.02,0.99,0.17,0.48,0.14,418739 milliseconds
18,2,5,8,40,-0.05,0.1,0,0.108,0.1,0.1,0.1,1.0,0.06,0.99,0.18,0.58,0.15,470933 milliseconds
20,2,5,8,40,-0.05,0.1,0,0.108,0.1,0.1,0.1,1.0,0.06,1.0,0.24,0.66,0.2,542440 milliseconds
