n,ConditionsOfInterest,StandardValue1,StandardValue2,reps,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,power_Accuracy,power_Precision,power_Accuracy_Twolevel,power_Precision_Twolevel,Duration
10,2,5,8,40,-0.1,-0.2,0,0.108,0.1,0.1,0.1,1.0,0.7,1.0,0.38,285170 milliseconds
12,2,5,8,40,-0.1,-0.2,0,0.108,0.1,0.1,0.1,1.0,0.83,1.0,0.6,307999 milliseconds
14,2,5,8,40,-0.1,-0.2,0,0.108,0.1,0.1,0.1,1.0,0.88,1.0,0.66,372670 milliseconds
16,2,5,8,40,-0.1,-0.2,0,0.108,0.1,0.1,0.1,1.0,0.79,1.0,0.67,492452 milliseconds
18,2,5,8,40,-0.1,-0.2,0,0.108,0.1,0.1,0.1,1.0,0.94,1.0,0.7,563288 milliseconds
20,2,5,8,40,-0.1,-0.2,0,0.108,0.1,0.1,0.1,1.0,0.92,1.0,0.74,629281 milliseconds
10,2,5,8,40,-0.1,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.34,1.0,0.18,253747 milliseconds
12,2,5,8,40,-0.1,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.35,1.0,0.15,312658 milliseconds
14,2,5,8,40,-0.1,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.41,1.0,0.23,361826 milliseconds
16,2,5,8,40,-0.1,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.44,1.0,0.16,487744 milliseconds
18,2,5,8,40,-0.1,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.47,1.0,0.18,553303 milliseconds
20,2,5,8,40,-0.1,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.48,1.0,0.2,617070 milliseconds
10,2,5,8,40,-0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.2,1.0,0.08,257169 milliseconds
12,2,5,8,40,-0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.22,1.0,0.07,306085 milliseconds
14,2,5,8,40,-0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.2,1.0,0.07,362429 milliseconds
16,2,5,8,40,-0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.32,1.0,0.09,494561 milliseconds
18,2,5,8,40,-0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.28,1.0,0.09,551555 milliseconds
20,2,5,8,40,-0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.21,1.0,0.08,607860 milliseconds
10,2,5,8,40,-0.1,0.1,0,0.108,0.1,0.1,0.1,1.0,0.3,0.99,0.16,254947 milliseconds
12,2,5,8,40,-0.1,0.1,0,0.108,0.1,0.1,0.1,1.0,0.28,1.0,0.11,309552 milliseconds
14,2,5,8,40,-0.1,0.1,0,0.108,0.1,0.1,0.1,1.0,0.39,1.0,0.13,360920 milliseconds
16,2,5,8,40,-0.1,0.1,0,0.108,0.1,0.1,0.1,1.0,0.35,1.0,0.19,478355 milliseconds
18,2,5,8,40,-0.1,0.1,0,0.108,0.1,0.1,0.1,1.0,0.39,1.0,0.18,539965 milliseconds
20,2,5,8,40,-0.1,0.1,0,0.108,0.1,0.1,0.1,1.0,0.5,1.0,0.25,607938 milliseconds
10,2,5,8,40,-0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.51,1.0,0.37,254826 milliseconds
12,2,5,8,40,-0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.66,1.0,0.39,306259 milliseconds
14,2,5,8,40,-0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.67,1.0,0.5,360731 milliseconds
16,2,5,8,40,-0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.7,1.0,0.48,476297 milliseconds
18,2,5,8,40,-0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.74,1.0,0.63,558228 milliseconds
20,2,5,8,40,-0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.77,1.0,0.61,621957 milliseconds
10,2,5,8,40,-0.05,-0.2,0,0.108,0.1,0.1,0.1,1.0,0.76,0.99,0.57,259560 milliseconds
12,2,5,8,40,-0.05,-0.2,0,0.108,0.1,0.1,0.1,1.0,0.8,1.0,0.58,303890 milliseconds
14,2,5,8,40,-0.05,-0.2,0,0.108,0.1,0.1,0.1,1.0,0.86,1.0,0.59,368523 milliseconds
16,2,5,8,40,-0.05,-0.2,0,0.108,0.1,0.1,0.1,1.0,0.85,1.0,0.64,491083 milliseconds
18,2,5,8,40,-0.05,-0.2,0,0.108,0.1,0.1,0.1,1.0,0.92,1.0,0.76,570961 milliseconds
20,2,5,8,40,-0.05,-0.2,0,0.108,0.1,0.1,0.1,1.0,0.98,1.0,0.85,614729 milliseconds
10,2,5,8,40,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.45,1.0,0.18,255732 milliseconds
12,2,5,8,40,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.37,1.0,0.15,310058 milliseconds
14,2,5,8,40,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.48,1.0,0.28,373937 milliseconds
16,2,5,8,40,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.51,1.0,0.24,491192 milliseconds
18,2,5,8,40,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.46,1.0,0.2,571903 milliseconds
20,2,5,8,40,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.6,1.0,0.27,618097 milliseconds
