n,ConditionsOfInterest,StandardValue1,StandardValue2,reps,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,power_Accuracy,power_Precision,power_Accuracy_Twolevel,power_Precision_Twolevel,Duration
10,2,5,8,60,-0.1,-0.2,0,0.108,0.1,0.1,0.1,1,0.82,1,0.69,346096 milliseconds
12,2,5,8,60,-0.1,-0.2,0,0.108,0.1,0.1,0.1,1,0.91,1,0.76,432072 milliseconds
14,2,5,8,60,-0.1,-0.2,0,0.108,0.1,0.1,0.1,1,0.94,1,0.77,510373 milliseconds
16,2,5,8,60,-0.1,-0.2,0,0.108,0.1,0.1,0.1,1,0.96,1,0.87,584861 milliseconds
18,2,5,8,60,-0.1,-0.2,0,0.108,0.1,0.1,0.1,1,0.96,1,0.82,691342 milliseconds
20,2,5,8,60,-0.1,-0.2,0,0.108,0.1,0.1,0.1,1,0.99,1,0.93,733649 milliseconds
10,2,5,8,60,-0.1,-0.1,0,0.108,0.1,0.1,0.1,1,0.46,1,0.2,289646 milliseconds
12,2,5,8,60,-0.1,-0.1,0,0.108,0.1,0.1,0.1,1,0.43,1,0.28,443049 milliseconds
14,2,5,8,60,-0.1,-0.1,0,0.108,0.1,0.1,0.1,1,0.45,1,0.21,495055 milliseconds
16,2,5,8,60,-0.1,-0.1,0,0.108,0.1,0.1,0.1,1,0.61,1,0.32,562543 milliseconds
18,2,5,8,60,-0.1,-0.1,0,0.108,0.1,0.1,0.1,1,0.5,1,0.3,662510 milliseconds
20,2,5,8,60,-0.1,-0.1,0,0.108,0.1,0.1,0.1,1,0.6,1,0.34,759095 milliseconds
10,2,5,8,60,-0.1,0,0,0.108,0.1,0.1,0.1,1,0.16,1,0.03,295683 milliseconds
12,2,5,8,60,-0.1,0,0,0.108,0.1,0.1,0.1,1,0.19,1,0.03,418084 milliseconds
14,2,5,8,60,-0.1,0,0,0.108,0.1,0.1,0.1,1,0.2,1,0.05,501836 milliseconds
16,2,5,8,60,-0.1,0,0,0.108,0.1,0.1,0.1,1,0.2,1,0.08,588157 milliseconds
18,2,5,8,60,-0.1,0,0,0.108,0.1,0.1,0.1,1,0.17,1,0.03,662137 milliseconds
20,2,5,8,60,-0.1,0,0,0.108,0.1,0.1,0.1,1,0.21,1,0.07,769580 milliseconds
10,2,5,8,60,-0.1,0.1,0,0.108,0.1,0.1,0.1,1,0.37,1,0.14,291035 milliseconds
12,2,5,8,60,-0.1,0.1,0,0.108,0.1,0.1,0.1,1,0.45,1,0.21,424557 milliseconds
14,2,5,8,60,-0.1,0.1,0,0.108,0.1,0.1,0.1,1,0.46,1,0.3,500617 milliseconds
16,2,5,8,60,-0.1,0.1,0,0.108,0.1,0.1,0.1,1,0.37,1,0.23,575888 milliseconds
18,2,5,8,60,-0.1,0.1,0,0.108,0.1,0.1,0.1,1,0.51,1,0.31,657642 milliseconds
20,2,5,8,60,-0.1,0.1,0,0.108,0.1,0.1,0.1,1,0.55,1,0.36,724274 milliseconds
10,2,5,8,60,-0.1,0.2,0,0.108,0.1,0.1,0.1,1,0.66,1,0.5,292971 milliseconds
12,2,5,8,60,-0.1,0.2,0,0.108,0.1,0.1,0.1,1,0.8,1,0.65,421669 milliseconds
14,2,5,8,60,-0.1,0.2,0,0.108,0.1,0.1,0.1,1,0.78,1,0.6,501642 milliseconds
16,2,5,8,60,-0.1,0.2,0,0.108,0.1,0.1,0.1,1,0.87,1,0.77,567151 milliseconds
18,2,5,8,60,-0.1,0.2,0,0.108,0.1,0.1,0.1,1,0.92,1,0.83,667324 milliseconds
20,2,5,8,60,-0.1,0.2,0,0.108,0.1,0.1,0.1,1,0.93,1,0.81,729947 milliseconds
10,2,5,8,60,-0.05,-0.2,0,0.108,0.1,0.1,0.1,1,0.8,1,0.62,304327 milliseconds
12,2,5,8,60,-0.05,-0.2,0,0.108,0.1,0.1,0.1,1,0.92,1,0.77,448238 milliseconds
14,2,5,8,60,-0.05,-0.2,0,0.108,0.1,0.1,0.1,1,0.95,1,0.86,513402 milliseconds
16,2,5,8,60,-0.05,-0.2,0,0.108,0.1,0.1,0.1,1,0.92,1,0.86,578742 milliseconds
18,2,5,8,60,-0.05,-0.2,0,0.108,0.1,0.1,0.1,1,0.95,1,0.82,686019 milliseconds
