n,ConditionsOfInterest,StandardValue1,StandardValue2,reps,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,power_Accuracy,power_Precision,power_Accuracy_Twolevel,power_Precision_Twolevel,Duration
10,2,5,8,60,0.1,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.91,1.0,1.0,411953 milliseconds
12,2,5,8,60,0.1,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.93,1.0,1.0,620235 milliseconds
14,2,5,8,60,0.1,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.95,1.0,1.0,547496 milliseconds
16,2,5,8,60,0.1,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.92,1.0,1.0,824368 milliseconds
18,2,5,8,60,0.1,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.96,1.0,1.0,1042626 milliseconds
20,2,5,8,60,0.1,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.97,1.0,1.0,703454 milliseconds
10,2,5,8,60,0.1,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.5,1.0,0.93,240115 milliseconds
12,2,5,8,60,0.1,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.31,1.0,0.94,322292 milliseconds
14,2,5,8,60,0.1,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.41,1.0,0.96,386486 milliseconds
16,2,5,8,60,0.1,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.42,1.0,0.96,429803 milliseconds
18,2,5,8,60,0.1,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.3,1.0,0.98,550896 milliseconds
20,2,5,8,60,0.1,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.43,1.0,0.99,576592 milliseconds
10,2,5,8,60,0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.25,1.0,0.05,241083 milliseconds
12,2,5,8,60,0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.32,1.0,0.02,312528 milliseconds
14,2,5,8,60,0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.2,1.0,0.05,369654 milliseconds
16,2,5,8,60,0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.3,1.0,0.06,426543 milliseconds
18,2,5,8,60,0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.33,1.0,0.08,492647 milliseconds
20,2,5,8,60,0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.27,1.0,0.05,544538 milliseconds
10,2,5,8,60,0.1,0.25,0,0.108,0.1,0.1,0.1,1.0,0.73,1.0,0.76,242569 milliseconds
12,2,5,8,60,0.1,0.25,0,0.108,0.1,0.1,0.1,1.0,0.84,1.0,0.78,312768 milliseconds
14,2,5,8,60,0.1,0.25,0,0.108,0.1,0.1,0.1,1.0,0.82,1.0,0.75,360952 milliseconds
16,2,5,8,60,0.1,0.25,0,0.108,0.1,0.1,0.1,1.0,0.89,1.0,0.85,416905 milliseconds
18,2,5,8,60,0.1,0.25,0,0.108,0.1,0.1,0.1,1.0,0.9,1.0,0.92,472505 milliseconds
20,2,5,8,60,0.1,0.25,0,0.108,0.1,0.1,0.1,1.0,0.94,1.0,0.89,534287 milliseconds
10,2,5,8,60,0.1,0.5,0,0.108,0.1,0.1,0.1,1.0,0.95,1.0,0.99,248239 milliseconds
12,2,5,8,60,0.1,0.5,0,0.108,0.1,0.1,0.1,1.0,1.0,1.0,1.0,315171 milliseconds
14,2,5,8,60,0.1,0.5,0,0.108,0.1,0.1,0.1,1.0,1.0,1.0,1.0,371307 milliseconds
16,2,5,8,60,0.1,0.5,0,0.108,0.1,0.1,0.1,1.0,1.0,1.0,1.0,423479 milliseconds
18,2,5,8,60,0.1,0.5,0,0.108,0.1,0.1,0.1,1.0,1.0,1.0,1.0,457026 milliseconds
20,2,5,8,60,0.1,0.5,0,0.108,0.1,0.1,0.1,1.0,1.0,1.0,1.0,605435 milliseconds
