iteration,reps,n,label,AIC,Pvalues_Accuracy,Pvalues_Interaction,Duration,Coefficients_Accuracy,Coefficients_Interaction,ConditionsOfInterest,StandardValue1,StandardValue2,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,Program,Duration_SimulateDataset
1,30,10,NelderMead_nAGQ0,1041.9373807069337,0.862507441625517,0.02231752723569331,2.4654529094696045,0.03637472285562223,0.4004670208157111,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.007977962493896484
1,30,10,NelderMead_nAGQ1,1041.9246035503961,0.8675411878880912,0.17551554935549757,6.6003499031066895,0.03583199945493655,0.40698079393025266,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.007977962493896484
1,30,10,Bobyqa_nAGQ0,1041.9373807069337,0.862507441625517,0.02231752723569331,2.5830931663513184,0.03637472285562223,0.4004670208157111,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.007977962493896484
1,30,10,Bobyqa_nAGQ1,1041.924597707081,0.8674521092279363,0.17548601453342885,5.327785968780518,0.03585931789027738,0.40700613951326353,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.007977962493896484
1,30,10,nloptwrap_nAGQ0,1041.9375825545173,0.8625790976463885,0.022426595611631964,0.8257908821105957,0.036330852413194205,0.40012476688865056,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.007977962493896484
1,30,10,nloptwrap_nAGQ1,1041.9250354092926,0.8539073988526984,0.1729307182473429,2.0594611167907715,0.03968368843096275,0.4095186251164673,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.007977962493896484
1,30,10,R: LRT,0.0,0.0,0.17764755135387938,0.8467698097229004,0.0,0.0,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.007977962493896484
1,30,10,JuliaAIC_NeldMeader_AGP0,1041.9332528592668,0.8626265693218355,0.022416974593807804,10.944,0.03634235611638843,0.4002871904900587,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0.007977962493896484
1,30,10,JuliaAIC_bobyqa_AGP0,1041.9332530539598,0.8626448069345783,0.02242973958623895,0.589,0.03591774772408177,0.4071813676730909,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0.007977962493896484
1,30,10,JuliaAIC_NeldMeader_AGP1,1041.9245503269485,0.8643110907888285,0.0203940259886306,23.219,0.03575099653775841,0.40715414789267035,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0.007977962493896484
1,30,10,JuliaAIC_bobyqa_AGP1,1041.9245509743023,0.8649339664452295,0.020402042202092015,1.827,0.036335192829134624,0.40024789296328755,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0.007977962493896484
1,30,10,JuliaLRT,0.0,0.0,0.15287307493446936,3.222,0.0,0.0,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0.007977962493896484
