iteration,reps,n,label,AIC,Pvalues_Accuracy,Pvalues_Interaction,Duration,Coefficients_Accuracy,Coefficients_Interaction,ConditionsOfInterest,StandardValue1,StandardValue2,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,Program,Duration_SimulateDataset
1,30,10,NelderMead_nAGQ0,1010.583476,0.519005347,0.906575404,0.640465975,-0.112526747,-0.028611671,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.03128314
1,30,10,NelderMead_nAGQ1,1010.549862,0.507704551,0.906642648,2.705304146,-0.115391246,-0.027956403,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.03128314
1,30,10,Bobyqa_nAGQ0,1010.583476,0.519005347,0.906575404,0.796684027,-0.112526747,-0.028611671,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.03128314
1,30,10,Bobyqa_nAGQ1,1010.549862,0.507745861,0.906426821,1.280947924,-0.115379445,-0.028021168,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.03128314
1,30,10,nloptwrap_nAGQ0,1010.584132,0.519252059,0.906959515,0.219825983,-0.112475647,-0.028493149,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.03128314
1,30,10,nloptwrap_nAGQ1,1010.580602,0.517884357,0.904514468,0.578004837,-0.112475647,-0.028493149,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.03128314
1,30,10,R: LRT,0,0,0.910787652,0.203073978,0,0,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.03128314
1,30,10,JuliaAIC_NeldMeader_AGP0,1010.579869,0.519044844,0.906535285,2.345,-0.112524361,-0.028629827,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0.03128314
1,30,10,JuliaAIC_bobyqa_AGP0,1010.579869,0.519048841,0.906532943,0.139,-0.115487234,-0.02804314,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0.03128314
1,30,10,JuliaAIC_NeldMeader_AGP1,1010.549689,0.508770205,0.908756733,1.261,-0.115483715,-0.027844521,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0.03128314
1,30,10,JuliaAIC_bobyqa_AGP1,1010.549653,0.508785048,0.909400941,0.352,-0.112523282,-0.028630526,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0.03128314
1,30,10,JuliaLRT,0,0,0.908432284,4.391,0,0,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0.03128314
2,30,10,NelderMead_nAGQ0,910.0315176,0.308528437,0.232567725,0.827924967,0.172446178,0.278361628,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.015617847
2,30,10,NelderMead_nAGQ1,910.0145963,0.305520993,0.228033805,3.359948874,0.174781903,0.28118185,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.015617847
2,30,10,Bobyqa_nAGQ0,910.0315176,0.308528437,0.232567725,0.812303066,0.172446178,0.278361628,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.015617847
2,30,10,Bobyqa_nAGQ1,910.0145963,0.305513329,0.228028822,1.515264988,0.1747844,0.281184186,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.015617847
2,30,10,nloptwrap_nAGQ0,910.5472348,0.293273503,0.218535529,0.220949888,0.177952072,0.286931332,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.015617847
2,30,10,nloptwrap_nAGQ1,910.5304452,0.290154846,0.213405251,0.617640018,0.180191816,0.289750703,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.015617847
2,30,10,R: LRT,0,0,0.215752247,0.1718328,0,0,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.015617847
2,30,10,JuliaAIC_NeldMeader_AGP0,910.0279134,0.308588751,0.232706621,0.571,0.172446764,0.278364492,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0.015617847
2,30,10,JuliaAIC_bobyqa_AGP0,910.0279134,0.308587451,0.232706331,0.219,0.174809801,0.28123026,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0.015617847
2,30,10,JuliaAIC_NeldMeader_AGP1,910.0145281,0.30248176,0.228865235,2.931,0.174686462,0.281200949,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0.015617847
2,30,10,JuliaAIC_bobyqa_AGP1,910.0145291,0.302821803,0.228912559,0.781,0.172447343,0.278364871,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0.015617847
2,30,10,JuliaLRT,0,0,0.230551033,0.219,0,0,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0.015617847
3,30,10,NelderMead_nAGQ0,984.1444407,0.780443937,0.151110996,0.711404085,0.046255434,-0.236143575,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.015620947
3,30,10,NelderMead_nAGQ1,984.1356202,0.780227506,0.145139028,1.890185833,0.046444274,-0.239690557,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.015620947
3,30,10,Bobyqa_nAGQ0,984.1444407,0.780443937,0.151110996,0.702955961,0.046255434,-0.236143575,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.015620947
3,30,10,Bobyqa_nAGQ1,984.1356202,0.780235324,0.145138109,1.563848019,0.04644254,-0.239690749,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.015620947
3,30,10,nloptwrap_nAGQ0,984.1444508,0.780453225,0.151144137,0.267868042,0.046253849,-0.236131194,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.015620947
