iteration,reps,n,label,AIC,Pvalues_Accuracy,Pvalues_Interaction,Duration,Coefficients_Accuracy,Coefficients_Interaction,ConditionsOfInterest,StandardValue1,StandardValue2,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,Program,Duration_SimulateDataset
1,30,10,NelderMead_nAGQ0,960.8287622,0.306101585,0.582217155,3.370061874,-0.175231518,0.102651285,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.035867929
1,30,10,NelderMead_nAGQ1,960.8042863,0.313580131,0.760566842,9.165016174,-0.177404679,0.103641468,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.035867929
1,30,10,Bobyqa_nAGQ0,960.8287622,0.306101585,0.582217155,3.16850996,-0.175231518,0.102651285,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.035867929
1,30,10,Bobyqa_nAGQ1,960.8042691,0.313573067,0.76105304,5.649884939,-0.177419354,0.10342512,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.035867929
1,30,10,nloptwrap_nAGQ0,960.8288113,0.306203689,0.583478917,0.836762905,-0.175233637,0.102306804,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.035867929
1,30,10,nloptwrap_nAGQ1,960.8058023,0.31988318,0.77246146,1.886924982,-0.175428094,0.098360953,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.035867929
1,30,10,R: LRT,0,0,0.972398043,0.972398043,0,0,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.035867929
1,30,10,JuliaAIC_NeldMeader_AGP0,960.8287572,0.306108062,0.582255238,13.946,-0.175230169,0.102641022,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,Julia,0.035867929
1,30,10,JuliaAIC_bobyqa_AGP0,960.8287578,0.306075129,0.582042068,0.364,-0.177466918,0.10347958,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,Julia,0.035867929
1,30,10,JuliaAIC_NeldMeader_AGP1,960.8042244,0.30091682,0.580545641,25.363,-0.122267451,0.060082155,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,Julia,0.035867929
1,30,10,JuliaAIC_bobyqa_AGP1,960.9061325,0.482219852,0.748151033,5.239,-0.175237078,0.102699193,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,Julia,0.035867929
1,30,10,JuliaLRT,0,0,0.762474274,4.551,0,0,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,Julia,0.035867929
2,30,10,NelderMead_nAGQ0,984.7584142,0.005991669,0.451333857,1.847070932,-0.636647061,-0.17678348,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.007987022
2,30,10,NelderMead_nAGQ1,984.7433462,0.00611424,0.565475369,8.574735165,-0.651924376,-0.180208651,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.007987022
2,30,10,Bobyqa_nAGQ0,984.7584142,0.005991669,0.451333857,1.734329939,-0.636647061,-0.17678348,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.007987022
