n,ConditionsOfInterest,StandardValue1,StandardValue2,reps,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,power_Accuracy,power_Precision,power_Accuracy_Twolevel,power_Precision_Twolevel,Duration
10,2,5,8,60,0.0,-0.2,0,0.108,0.1,0.1,0.1,1.0,0.57,0.0,0.69,488281 milliseconds
12,2,5,8,60,0.0,-0.2,0,0.108,0.1,0.1,0.1,1.0,0.69,0.0,0.77,613201 milliseconds
14,2,5,8,60,0.0,-0.2,0,0.108,0.1,0.1,0.1,1.0,0.74,0.03,0.8,724616 milliseconds
16,2,5,8,60,0.0,-0.2,0,0.108,0.1,0.1,0.1,1.0,0.72,0.0,0.86,914303 milliseconds
18,2,5,8,60,0.0,-0.2,0,0.108,0.1,0.1,0.1,1.0,0.88,0.0,0.91,1074357 milliseconds
20,2,5,8,60,0.0,-0.2,0,0.108,0.1,0.1,0.1,1.0,0.94,0.0,0.92,1316955 milliseconds
10,2,5,8,60,0.0,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.11,0.0,0.15,507249 milliseconds
12,2,5,8,60,0.0,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.22,0.0,0.29,671679 milliseconds
14,2,5,8,60,0.0,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.23,0.0,0.3,878311 milliseconds
16,2,5,8,60,0.0,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.21,0.0,0.3,952323 milliseconds
18,2,5,8,60,0.0,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.31,0.0,0.36,981699 milliseconds
20,2,5,8,60,0.0,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.33,0.01,0.4,1127514 milliseconds
10,2,5,8,60,0.0,0.0,0,0.108,0.1,0.1,0.1,1.0,0.02,0.0,0.04,408733 milliseconds
12,2,5,8,60,0.0,0.0,0,0.108,0.1,0.1,0.1,1.0,0.05,0.01,0.04,560950 milliseconds
14,2,5,8,60,0.0,0.0,0,0.108,0.1,0.1,0.1,1.0,0.04,0.0,0.03,741117 milliseconds
16,2,5,8,60,0.0,0.0,0,0.108,0.1,0.1,0.1,1.0,0.08,0.0,0.1,1096707 milliseconds
18,2,5,8,60,0.0,0.0,0,0.108,0.1,0.1,0.1,1.0,0.06,0.0,0.04,1006666 milliseconds
20,2,5,8,60,0.0,0.0,0,0.108,0.1,0.1,0.1,1.0,0.02,0.0,0.04,1121990 milliseconds
10,2,5,8,60,0.0,0.1,0,0.108,0.1,0.1,0.1,1.0,0.13,0.01,0.16,403489 milliseconds
12,2,5,8,60,0.0,0.1,0,0.108,0.1,0.1,0.1,1.0,0.18,0.0,0.24,533941 milliseconds
14,2,5,8,60,0.0,0.1,0,0.108,0.1,0.1,0.1,1.0,0.23,0.02,0.25,700469 milliseconds
16,2,5,8,60,0.0,0.1,0,0.108,0.1,0.1,0.1,1.0,0.18,0.01,0.22,863765 milliseconds
18,2,5,8,60,0.0,0.1,0,0.108,0.1,0.1,0.1,1.0,0.24,0.0,0.27,963019 milliseconds
20,2,5,8,60,0.0,0.1,0,0.108,0.1,0.1,0.1,1.0,0.25,0.0,0.32,1051988 milliseconds
10,2,5,8,60,0.0,0.2,0,0.108,0.1,0.1,0.1,1.0,0.47,0.0,0.57,411916 milliseconds
12,2,5,8,60,0.0,0.2,0,0.108,0.1,0.1,0.1,1.0,0.52,0.01,0.59,538464 milliseconds
14,2,5,8,60,0.0,0.2,0,0.108,0.1,0.1,0.1,1.0,0.59,0.01,0.67,688325 milliseconds
16,2,5,8,60,0.0,0.2,0,0.108,0.1,0.1,0.1,1.0,0.73,0.0,0.69,843458 milliseconds
18,2,5,8,60,0.0,0.2,0,0.108,0.1,0.1,0.1,1.0,0.63,0.01,0.67,921517 milliseconds
20,2,5,8,60,0.0,0.2,0,0.108,0.1,0.1,0.1,1.0,0.77,0.01,0.78,1071671 milliseconds
10,2,5,8,60,0.025,-0.2,0,0.108,0.1,0.1,0.1,1.0,0.59,0.79,0.73,437436 milliseconds
12,2,5,8,60,0.025,-0.2,0,0.108,0.1,0.1,0.1,1.0,0.73,0.82,0.8,587457 milliseconds
14,2,5,8,60,0.025,-0.2,0,0.108,0.1,0.1,0.1,1.0,0.77,0.88,0.81,760777 milliseconds
16,2,5,8,60,0.025,-0.2,0,0.108,0.1,0.1,0.1,1.0,0.85,0.88,0.87,922562 milliseconds
18,2,5,8,60,0.025,-0.2,0,0.108,0.1,0.1,0.1,1.0,0.82,0.93,0.91,996909 milliseconds
20,2,5,8,60,0.025,-0.2,0,0.108,0.1,0.1,0.1,1.0,0.88,0.98,0.95,1185922 milliseconds
10,2,5,8,60,0.025,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.19,0.7,0.23,397152 milliseconds
12,2,5,8,60,0.025,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.14,0.81,0.19,564622 milliseconds
14,2,5,8,60,0.025,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.2,0.92,0.22,731962 milliseconds
16,2,5,8,60,0.025,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.2,0.9,0.23,26502271 milliseconds
18,2,5,8,60,0.025,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.25,0.93,0.33,1048575 milliseconds
20,2,5,8,60,0.025,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.23,0.97,0.3,1230471 milliseconds
10,2,5,8,60,0.025,0.0,0,0.108,0.1,0.1,0.1,1.0,0.01,0.68,0.07,440793 milliseconds
12,2,5,8,60,0.025,0.0,0,0.108,0.1,0.1,0.1,1.0,0.04,0.7,0.06,621603 milliseconds
14,2,5,8,60,0.025,0.0,0,0.108,0.1,0.1,0.1,1.0,0.03,0.87,0.02,781921 milliseconds
16,2,5,8,60,0.025,0.0,0,0.108,0.1,0.1,0.1,1.0,0.03,0.89,0.05,930695 milliseconds
18,2,5,8,60,0.025,0.0,0,0.108,0.1,0.1,0.1,1.0,0.04,0.95,0.04,1039488 milliseconds
20,2,5,8,60,0.025,0.0,0,0.108,0.1,0.1,0.1,1.0,0.04,0.94,0.05,1215807 milliseconds
10,2,5,8,60,0.025,0.1,0,0.108,0.1,0.1,0.1,1.0,0.11,0.65,0.18,445408 milliseconds
12,2,5,8,60,0.025,0.1,0,0.108,0.1,0.1,0.1,1.0,0.17,0.7,0.22,630836 milliseconds
14,2,5,8,60,0.025,0.1,0,0.108,0.1,0.1,0.1,1.0,0.16,0.75,0.19,769938 milliseconds
16,2,5,8,60,0.025,0.1,0,0.108,0.1,0.1,0.1,1.0,0.22,0.91,0.28,843249 milliseconds
18,2,5,8,60,0.025,0.1,0,0.108,0.1,0.1,0.1,1.0,0.14,0.92,0.22,975312 milliseconds
20,2,5,8,60,0.025,0.1,0,0.108,0.1,0.1,0.1,1.0,0.25,0.94,0.3,1135796 milliseconds
10,2,5,8,60,0.025,0.2,0,0.108,0.1,0.1,0.1,1.0,0.43,0.68,0.49,412414 milliseconds
12,2,5,8,60,0.025,0.2,0,0.108,0.1,0.1,0.1,1.0,0.45,0.74,0.55,531157 milliseconds
14,2,5,8,60,0.025,0.2,0,0.108,0.1,0.1,0.1,1.0,0.58,0.75,0.67,690266 milliseconds
16,2,5,8,60,0.025,0.2,0,0.108,0.1,0.1,0.1,1.0,0.61,0.9,0.67,820774 milliseconds
18,2,5,8,60,0.025,0.2,0,0.108,0.1,0.1,0.1,1.0,0.67,0.84,0.76,899883 milliseconds
20,2,5,8,60,0.025,0.2,0,0.108,0.1,0.1,0.1,1.0,0.71,0.91,0.78,1037634 milliseconds
10,2,5,8,60,0.05,-0.2,0,0.108,0.1,0.1,0.1,1.0,0.61,1.0,0.7,408461 milliseconds
12,2,5,8,60,0.05,-0.2,0,0.108,0.1,0.1,0.1,1.0,0.68,1.0,0.71,549645 milliseconds
14,2,5,8,60,0.05,-0.2,0,0.108,0.1,0.1,0.1,1.0,0.77,1.0,0.82,741505 milliseconds
16,2,5,8,60,0.05,-0.2,0,0.108,0.1,0.1,0.1,1.0,0.84,1.0,0.9,938763 milliseconds
18,2,5,8,60,0.05,-0.2,0,0.108,0.1,0.1,0.1,1.0,0.85,1.0,0.91,1010266 milliseconds
20,2,5,8,60,0.05,-0.2,0,0.108,0.1,0.1,0.1,1.0,0.82,1.0,0.95,1188572 milliseconds
