iteration,reps,n,label,AIC,Pvalues_Accuracy,Pvalues_Interaction,Duration,Coefficients_Accuracy,Coefficients_Interaction,ConditionsOfInterest,StandardValue1,StandardValue2,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,Program,Duration_SimulateDataset
1,30,10,NelderMead_nAGQ0,1041.937381,0.862507442,0.022317527,2.465452909,0.036374723,0.400467021,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.007977962
1,30,10,NelderMead_nAGQ1,1041.924604,0.867541188,0.175515549,6.600349903,0.035831999,0.406980794,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.007977962
1,30,10,Bobyqa_nAGQ0,1041.937381,0.862507442,0.022317527,2.583093166,0.036374723,0.400467021,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.007977962
1,30,10,Bobyqa_nAGQ1,1041.924598,0.867452109,0.175486015,5.327785969,0.035859318,0.40700614,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.007977962
1,30,10,nloptwrap_nAGQ0,1041.937583,0.862579098,0.022426596,0.825790882,0.036330852,0.400124767,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.007977962
1,30,10,nloptwrap_nAGQ1,1041.925035,0.853907399,0.172930718,2.059461117,0.039683688,0.409518625,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.007977962
1,30,10,R: LRT,0,0,0.177647551,0.84676981,0,0,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.007977962
1,30,10,JuliaAIC_NeldMeader_AGP0,1041.933253,0.862626569,0.022416975,10.944,0.036342356,0.40028719,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0.007977962
1,30,10,JuliaAIC_bobyqa_AGP0,1041.933253,0.862644807,0.02242974,0.589,0.035917748,0.407181368,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0.007977962
1,30,10,JuliaAIC_NeldMeader_AGP1,1041.92455,0.864311091,0.020394026,23.219,0.035750997,0.407154148,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0.007977962
1,30,10,JuliaAIC_bobyqa_AGP1,1041.924551,0.864933966,0.020402042,1.827,0.036335193,0.400247893,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0.007977962
1,30,10,JuliaLRT,0,0,0.152873075,3.222,0,0,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0.007977962
2,30,10,NelderMead_nAGQ0,992.6537258,0.375426343,0.998015634,5.16518712,0.152679319,0.000431541,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.007978916
2,30,10,NelderMead_nAGQ1,992.6427067,0.380436171,0.99842681,12.63917494,0.153758717,0.000602955,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.007978916
2,30,10,Bobyqa_nAGQ0,992.6537258,0.375426343,0.998015634,5.165189028,0.152679319,0.000431541,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.007978916
2,30,10,Bobyqa_nAGQ1,992.642706,0.380434013,0.998417933,9.832675934,0.153761034,0.000606357,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.007978916
2,30,10,nloptwrap_nAGQ0,992.6538147,0.375386401,0.998180423,1.440150023,0.152681914,0.000395689,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.007978916
2,30,10,nloptwrap_nAGQ1,992.6429003,0.378040863,0.997842317,2.553210974,0.15447268,0.000826965,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.007978916
2,30,10,R: LRT,0,0,0.813718205,1.06315589,0,0,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.007978916
