iteration,reps,n,label,AIC,Pvalues_Accuracy,Pvalues_Interaction,Duration,Coefficients_Accuracy,Coefficients_Interaction,ConditionsOfInterest,StandardValue1,StandardValue2,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,Program,Duration_SimulateDataset
1,30,10,NelderMead_nAGQ0,1010.583476,0.519005347,0.906575404,0.694885015,-0.112526747,-0.028611671,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.031242132
1,30,10,NelderMead_nAGQ1,1010.549862,0.507704551,0.906642648,3.093513966,-0.115391246,-0.027956403,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.031242132
1,30,10,Bobyqa_nAGQ0,1010.583476,0.519005347,0.906575404,0.960708141,-0.112526747,-0.028611671,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.031242132
1,30,10,Bobyqa_nAGQ1,1010.549862,0.507745861,0.906426821,1.464462996,-0.115379445,-0.028021168,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.031242132
1,30,10,nloptwrap_nAGQ0,1010.584132,0.519252059,0.906959515,0.216585159,-0.112475647,-0.028493149,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.031242132
1,30,10,nloptwrap_nAGQ1,1010.580602,0.517884357,0.904514468,0.652140141,-0.112475647,-0.028493149,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.031242132
1,30,10,R: LRT,0,0,0.910787652,0.248311996,0,0,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.031242132
1,30,10,JuliaAIC_NeldMeader_AGP0,1019.982143,0.397288076,0.826208914,2.793,-0.166866977,0.055000954,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0.031242132
1,30,10,JuliaAIC_bobyqa_AGP0,1019.982144,0.397287772,0.826292939,0.11,-0.170907493,0.062808061,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0.031242132
1,30,10,JuliaAIC_NeldMeader_AGP1,1019.963017,0.387803702,0.803437326,3.89,-0.170928978,0.062657724,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0.031242132
