nIteration,n,reps,DurationGLMM_NeldMeader_AGP0,AIC_NeldMeader_AGP0,Pvalues_NeldMeader_AGP0_Accuracy,Pvalues_NeldMeader_AGP0_Precision,DurationGLMM_bobyqa_AGP0,AIC_bobyqa_AGP0,Pvalues_bobyqa_AGP0_Accuracy,Pvalues_bobyqa_AGP0_Precision,ConditionsOfInterest,StandardValue1,StandardValue2,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between
1,10,30,75351,4194.545238,1.43E-10,1.10E-06,4719,4194.102856,1.76E-10,1.37E-06,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
2,10,30,54882,4153.951351,3.03E-12,1.12E-06,4946,4153.951347,3.03E-12,1.11E-06,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
3,10,30,46914,4082.421473,6.48E-11,1.57E-05,3392,4082.421474,6.45E-11,1.57E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
4,10,30,23894,4050.39563,8.89E-12,4.90E-05,4192,4050.395477,8.91E-12,4.91E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
5,10,30,50741,4234.773103,9.04E-13,0.005116203,4306,4234.773103,8.97E-13,0.005115424,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
6,10,30,32503,4129.474808,6.92E-09,0.008268084,4784,4129.242862,7.92E-09,0.008402051,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
7,10,30,56188,4098.774851,2.15E-17,0.000298869,2601,4098.774848,2.08E-17,0.000298452,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
8,10,30,35877,4091.73771,1.85E-16,6.09E-12,2366,4091.737749,2.13E-16,6.09E-12,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
9,10,30,31933,4061.450128,2.90E-10,1.43E-05,2703,4061.45012,2.89E-10,1.42E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
10,10,30,36905,4255.208677,1.29E-10,0.023164403,1803,4256.428411,8.40E-11,0.019531507,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
11,10,30,86332,4274.538493,1.24E-12,0.000112954,5721,4274.538495,1.22E-12,0.00011245,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
12,10,30,43205,4073.998968,1.55E-10,0.000166804,1798,4074.003915,1.55E-10,0.000169481,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
13,10,30,36713,4179.860039,2.42E-15,2.06E-11,2533,4180.187803,1.93E-15,1.48E-11,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
14,10,30,73605,4031.775444,1.25E-16,2.71E-06,3101,4027.365408,1.58E-16,4.85E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
15,10,30,64747,4102.956063,4.48E-12,0.000571261,1836,4103.404489,4.01E-12,0.000521282,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
16,10,30,49890,4172.983283,1.18E-13,5.81E-10,4908,4172.653649,1.51E-13,8.57E-10,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
17,10,30,75817,4052.474923,3.51E-16,3.39E-09,3367,4052.474939,3.42E-16,3.43E-09,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
