nIteration,n,reps,DurationGLMM_bobyqa_AGP0,AIC_bobyqa_AGP0,Pvalues_bobyqa_AGP0_Accuracy,Pvalues_bobyqa_AGP0_Precision,ConditionsOfInterest,StandardValue1,StandardValue2,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between
1,10,30,25502,4278.389161,1.38E-11,0.001333125,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
2,10,30,3212,4065.055392,5.17E-11,0.000400056,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
3,10,30,1805,4209.723324,1.02E-11,5.97E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
4,10,30,3277,4023.796671,1.04E-17,1.48E-13,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
5,10,30,3773,4196.878596,5.27E-13,0.000751276,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
6,10,30,2844,4169.58749,1.15E-16,1.62E-10,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
7,10,30,8882,4115.239089,2.73E-10,0.291650848,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
8,10,30,4052,3857.557131,1.45E-12,8.99E-07,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
9,10,30,4247,4002.919878,5.66E-16,1.30E-06,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
10,10,30,1769,4030.898351,4.96E-15,1.69E-10,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
11,10,30,2921,4201.755825,5.46E-10,0.002317348,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
12,10,30,3095,4074.484393,3.72E-09,0.001213377,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
13,10,30,2277,4276.226598,3.44E-14,0.001129289,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
14,10,30,2644,4225.639566,2.78E-11,5.41E-07,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
15,10,30,3865,4006.416647,7.38E-12,4.93E-08,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
16,10,30,3486,4213.890704,2.00E-12,0.014601937,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
17,10,30,1781,3882.091804,2.07E-14,7.09E-10,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
18,10,30,2485,4091.885178,2.75E-15,0.004905155,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
19,10,30,2311,4054.701945,1.73E-13,8.04E-10,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
20,10,30,3187,4162.696721,1.60E-11,6.51E-06,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
21,10,30,4598,4136.795735,1.34E-12,1.03E-07,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
22,10,30,2433,4244.314994,1.02E-09,3.47E-09,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
23,10,30,5793,4328.691776,3.41E-13,3.24E-07,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
24,10,30,3214,4118.205807,4.43E-15,0.000261453,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
25,10,30,2892,4070.287162,7.74E-15,8.76E-08,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
1,12,30,2021,4053.005674,9.73E-13,0.000442875,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
2,12,30,2728,4105.299157,1.83E-19,1.40E-10,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
3,12,30,5429,4205.621412,2.65E-12,0.030005697,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
4,12,30,2877,4044.824219,3.07E-15,0.000163559,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
5,12,30,4323,4004.284447,7.22E-13,0.000276311,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
6,12,30,1871,4055.387253,6.00E-13,1.85E-06,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
7,12,30,3995,4333.43265,1.44E-12,0.004277947,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
8,12,30,4650,4104.29205,2.52E-11,3.73E-07,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
9,12,30,2484,4196.266873,2.75E-11,1.46E-06,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
10,12,30,3148,4174.098278,3.08E-12,2.26E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
11,12,30,5072,4090.461206,1.83E-13,2.33E-08,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
12,12,30,3036,4073.857277,4.30E-10,1.16E-09,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
13,12,30,6190,4141.680779,1.18E-11,3.64E-08,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
14,12,30,2583,3948.822266,1.84E-13,1.93E-07,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
15,12,30,1447,4173.88462,2.76E-12,6.32E-07,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
16,12,30,1857,4157.374696,1.23E-12,2.28E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
17,12,30,2645,3997.631706,1.64E-13,0.000576934,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
18,12,30,6532,3886.5357,7.65E-14,5.16E-10,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
19,12,30,3920,4144.092166,6.06E-10,4.82E-07,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
20,12,30,4154,4040.158481,1.66E-12,8.67E-17,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
21,12,30,1493,4287.027069,9.10E-08,0.054731077,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
22,12,30,4239,3930.052207,2.34E-12,3.09E-08,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
23,12,30,3290,3925.066225,5.43E-10,0.235809031,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
24,12,30,4204,4062.398297,1.01E-12,0.000603414,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
25,12,30,1884,4049.415578,8.44E-12,0.002284546,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
1,14,30,3819,4136.117198,1.94E-11,0.004662858,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
2,14,30,3468,4166.643555,1.74E-14,2.88E-09,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
3,14,30,2785,4069.23378,2.59E-14,1.78E-19,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
4,14,30,2964,4124.116445,2.46E-11,5.13E-07,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
5,14,30,2808,4123.487978,2.84E-10,0.029581056,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
6,14,30,2837,4150.189223,6.23E-12,1.02E-06,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
7,14,30,2019,4081.635293,9.14E-13,2.55E-07,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
