n,ConditionsOfInterest,StandardValue1,StandardValue2,reps,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,power_Accuracy,power_Precision,power_Accuracy_Twolevel,power_Precision_Twolevel,Duration
10,2,5,8,60,-0.1,-0.5,0,0.108,0.1,0.1,0.1,1.0,1.0,1.0,1.0,281224 milliseconds
12,2,5,8,60,-0.1,-0.5,0,0.108,0.1,0.1,0.1,1.0,1.0,1.0,1.0,335838 milliseconds
14,2,5,8,60,-0.1,-0.5,0,0.108,0.1,0.1,0.1,1.0,1.0,1.0,1.0,388575 milliseconds
16,2,5,8,60,-0.1,-0.5,0,0.108,0.1,0.1,0.1,1.0,1.0,1.0,1.0,449878 milliseconds
18,2,5,8,60,-0.1,-0.5,0,0.108,0.1,0.1,0.1,1.0,1.0,1.0,1.0,515676 milliseconds
20,2,5,8,60,-0.1,-0.5,0,0.108,0.1,0.1,0.1,1.0,1.0,1.0,1.0,573779 milliseconds
10,2,5,8,60,-0.1,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.95,1.0,1.0,243118 milliseconds
12,2,5,8,60,-0.1,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.92,1.0,1.0,317830 milliseconds
14,2,5,8,60,-0.1,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.95,1.0,1.0,387628 milliseconds
16,2,5,8,60,-0.1,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.99,1.0,1.0,433453 milliseconds
18,2,5,8,60,-0.1,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.97,1.0,1.0,555309 milliseconds
20,2,5,8,60,-0.1,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.99,1.0,1.0,670481 milliseconds
10,2,5,8,60,-0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.25,1.0,0.0,350030 milliseconds
12,2,5,8,60,-0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.19,1.0,0.0,446370 milliseconds
14,2,5,8,60,-0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.27,1.0,0.0,498658 milliseconds
16,2,5,8,60,-0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.28,1.0,0.0,635480 milliseconds
18,2,5,8,60,-0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.3,1.0,0.0,654523 milliseconds
20,2,5,8,60,-0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.44,1.0,0.0,824725 milliseconds
10,2,5,8,60,-0.1,0.25,0,0.108,0.1,0.1,0.1,1.0,0.26,1.0,1.0,271809 milliseconds
12,2,5,8,60,-0.1,0.25,0,0.108,0.1,0.1,0.1,1.0,0.14,1.0,1.0,314464 milliseconds
14,2,5,8,60,-0.1,0.25,0,0.108,0.1,0.1,0.1,1.0,0.27,1.0,1.0,361724 milliseconds
16,2,5,8,60,-0.1,0.25,0,0.108,0.1,0.1,0.1,1.0,0.34,1.0,1.0,411638 milliseconds
18,2,5,8,60,-0.1,0.25,0,0.108,0.1,0.1,0.1,1.0,0.26,1.0,1.0,486160 milliseconds
20,2,5,8,60,-0.1,0.25,0,0.108,0.1,0.1,0.1,1.0,0.32,1.0,1.0,530621 milliseconds
10,2,5,8,60,-0.1,0.5,0,0.108,0.1,0.1,0.1,1.0,0.71,1.0,1.0,230270 milliseconds
12,2,5,8,60,-0.1,0.5,0,0.108,0.1,0.1,0.1,1.0,0.76,1.0,1.0,298723 milliseconds
14,2,5,8,60,-0.1,0.5,0,0.108,0.1,0.1,0.1,1.0,0.76,1.0,1.0,356483 milliseconds
16,2,5,8,60,-0.1,0.5,0,0.108,0.1,0.1,0.1,1.0,0.83,1.0,1.0,405084 milliseconds
18,2,5,8,60,-0.1,0.5,0,0.108,0.1,0.1,0.1,1.0,0.87,1.0,1.0,463175 milliseconds
20,2,5,8,60,-0.1,0.5,0,0.108,0.1,0.1,0.1,1.0,0.85,1.0,1.0,514952 milliseconds
10,2,5,8,60,0.05,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.88,1.0,1.0,250149 milliseconds
12,2,5,8,60,0.05,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.92,1.0,1.0,332495 milliseconds
14,2,5,8,60,0.05,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.93,1.0,1.0,385892 milliseconds
16,2,5,8,60,0.05,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.95,1.0,1.0,449693 milliseconds
18,2,5,8,60,0.05,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.97,1.0,1.0,501537 milliseconds
20,2,5,8,60,0.05,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.99,1.0,1.0,566900 milliseconds
10,2,5,8,60,0.05,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.29,1.0,1.0,246620 milliseconds
12,2,5,8,60,0.05,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.31,1.0,1.0,321769 milliseconds
14,2,5,8,60,0.05,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.42,1.0,1.0,375717 milliseconds
16,2,5,8,60,0.05,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.49,1.0,1.0,436300 milliseconds
18,2,5,8,60,0.05,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.45,1.0,1.0,499539 milliseconds
20,2,5,8,60,0.05,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.5,1.0,1.0,552761 milliseconds
10,2,5,8,60,0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.17,1.0,0.0,241673 milliseconds
12,2,5,8,60,0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.16,1.0,0.0,313390 milliseconds
14,2,5,8,60,0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.18,1.0,0.0,375402 milliseconds
16,2,5,8,60,0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.06,1.0,0.0,430532 milliseconds
18,2,5,8,60,0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.13,1.0,0.0,491277 milliseconds
20,2,5,8,60,0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.15,1.0,0.0,530137 milliseconds
