,Model,StandardValues,ConditionOfInterest,ID,Repetition,Mean_Modeled,SD_Modeled,AIC,CoefCond,CoefInteract,PvaluesCoI,PvaluesInterac,SECoI,SEInterac,Mean_Actual,SD_Actual,PSE_Difference,JND_Difference,Condition_PSEJND,ActualPSEs,ActualSDs,Condition,AIC_Norm
1,M14,5,0,s1,1,0.114066288,0.789768808,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,0.216754863,0.981122247,-0.05,0.125,0.125-0.05,0,0.75,Baseline,-49.64705297
2,M14,6,0,s1,1,0.148528492,0.933776713,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,0.260105835,1.177346697,-0.05,0.125,0.125-0.05,0,0.9,Baseline,-49.64705297
3,M14,7,0,s1,1,0.196642666,1.074264833,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,0.303456808,1.373571146,-0.05,0.125,0.125-0.05,0,1.05,Baseline,-49.64705297
4,M14,8,0,s1,1,0.241319169,1.255561927,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,0.346807781,1.569795595,-0.05,0.125,0.125-0.05,0,1.2,Baseline,-49.64705297
5,M14,5,0,s2,1,-0.563607384,0.773720645,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,-0.542492572,0.774775353,-0.05,0.125,0.125-0.05,0,0.75,Baseline,-49.64705297
6,M14,6,0,s2,1,-0.68120886,0.934954403,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,-0.650991087,0.929730424,-0.05,0.125,0.125-0.05,0,0.9,Baseline,-49.64705297
7,M14,7,0,s2,1,-0.776108193,1.070216171,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,-0.759489601,1.084685494,-0.05,0.125,0.125-0.05,0,1.05,Baseline,-49.64705297
8,M14,8,0,s2,1,-0.92428184,1.251235728,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,-0.867988116,1.239640565,-0.05,0.125,0.125-0.05,0,1.2,Baseline,-49.64705297
9,M14,5,0,s3,1,0.901354344,0.788219004,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,0.891144645,0.946143354,-0.05,0.125,0.125-0.05,0,0.75,Baseline,-49.64705297
10,M14,6,0,s3,1,1.07054983,0.938152569,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,1.069373574,1.135372025,-0.05,0.125,0.125-0.05,0,0.9,Baseline,-49.64705297
11,M14,7,0,s3,1,1.224914228,1.085335724,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,1.247602503,1.324600696,-0.05,0.125,0.125-0.05,0,1.05,Baseline,-49.64705297
