n,ConditionsOfInterest,StandardValue1,StandardValue2,reps,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,power_Accuracy,power_Precision,power_Accuracy_Twolevel,power_Precision_Twolevel,Duration
10,2,5,8,60,-0.05,-0.5,0,0.108,0.1,0.1,0.1,1.0,1.0,1.0,1.0,250131 milliseconds
12,2,5,8,60,-0.05,-0.5,0,0.108,0.1,0.1,0.1,1.0,1.0,1.0,1.0,348639 milliseconds
14,2,5,8,60,-0.05,-0.5,0,0.108,0.1,0.1,0.1,1.0,1.0,1.0,1.0,377593 milliseconds
16,2,5,8,60,-0.05,-0.5,0,0.108,0.1,0.1,0.1,1.0,1.0,1.0,1.0,459511 milliseconds
18,2,5,8,60,-0.05,-0.5,0,0.108,0.1,0.1,0.1,1.0,1.0,1.0,1.0,518492 milliseconds
20,2,5,8,60,-0.05,-0.5,0,0.108,0.1,0.1,0.1,1.0,1.0,1.0,1.0,581598 milliseconds
10,2,5,8,60,-0.05,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.77,1.0,1.0,241038 milliseconds
12,2,5,8,60,-0.05,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.8,1.0,1.0,319966 milliseconds
14,2,5,8,60,-0.05,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.83,1.0,1.0,367295 milliseconds
16,2,5,8,60,-0.05,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.93,1.0,1.0,435471 milliseconds
18,2,5,8,60,-0.05,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.91,1.0,1.0,491059 milliseconds
20,2,5,8,60,-0.05,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.94,1.0,1.0,558841 milliseconds
10,2,5,8,60,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.14,1.0,0.0,235377 milliseconds
12,2,5,8,60,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.16,1.0,0.0,313213 milliseconds
14,2,5,8,60,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.09,1.0,0.0,372658 milliseconds
16,2,5,8,60,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.14,1.0,0.0,415588 milliseconds
18,2,5,8,60,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.08,1.0,0.0,491777 milliseconds
20,2,5,8,60,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.12,1.0,0.0,549312 milliseconds
10,2,5,8,60,-0.05,0.25,0,0.108,0.1,0.1,0.1,1.0,0.3,1.0,1.0,242337 milliseconds
12,2,5,8,60,-0.05,0.25,0,0.108,0.1,0.1,0.1,1.0,0.35,1.0,1.0,324936 milliseconds
14,2,5,8,60,-0.05,0.25,0,0.108,0.1,0.1,0.1,1.0,0.34,1.0,1.0,370305 milliseconds
16,2,5,8,60,-0.05,0.25,0,0.108,0.1,0.1,0.1,1.0,0.45,1.0,1.0,418984 milliseconds
18,2,5,8,60,-0.05,0.25,0,0.108,0.1,0.1,0.1,1.0,0.34,1.0,1.0,467856 milliseconds
20,2,5,8,60,-0.05,0.25,0,0.108,0.1,0.1,0.1,1.0,0.42,1.0,1.0,535174 milliseconds
10,2,5,8,60,-0.05,0.5,0,0.108,0.1,0.1,0.1,1.0,0.78,1.0,1.0,235888 milliseconds
12,2,5,8,60,-0.05,0.5,0,0.108,0.1,0.1,0.1,1.0,0.76,1.0,1.0,305547 milliseconds
14,2,5,8,60,-0.05,0.5,0,0.108,0.1,0.1,0.1,1.0,0.76,1.0,1.0,355920 milliseconds
16,2,5,8,60,-0.05,0.5,0,0.108,0.1,0.1,0.1,1.0,0.87,1.0,1.0,404667 milliseconds
18,2,5,8,60,-0.05,0.5,0,0.108,0.1,0.1,0.1,1.0,0.89,1.0,1.0,466762 milliseconds
20,2,5,8,60,-0.05,0.5,0,0.108,0.1,0.1,0.1,1.0,0.87,1.0,1.0,524291 milliseconds
