iteration,reps,n,label,AIC,Pvalues_Accuracy,Pvalues_Interaction,Duration,Coefficients_Accuracy,Coefficients_Interaction,ConditionsOfInterest,StandardValue1,StandardValue2,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,Program,Duration_SimulateDataset
1,30,10,NelderMead_nAGQ0,1052.448163,0.949253043,3.76E-05,2.478677988,-0.017173607,-0.734969521,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,R,0.036938906
1,30,10,NelderMead_nAGQ1,1052.401678,0.933666908,0.008205526,9.270488024,-0.022685264,-0.748040472,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,R,0.036938906
1,30,10,Bobyqa_nAGQ0,1052.448163,0.949253043,3.76E-05,2.263965845,-0.017173607,-0.734969521,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,R,0.036938906
1,30,10,Bobyqa_nAGQ1,1052.401561,0.930840796,0.008202055,4.369971037,-0.023647008,-0.748021298,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,R,0.036938906
1,30,10,nloptwrap_nAGQ0,1052.448304,0.948887615,3.85E-05,0.494285107,-0.017271775,-0.733928481,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,R,0.036938906
1,30,10,nloptwrap_nAGQ1,1052.403869,0.95149071,0.008173775,1.729922056,-0.016579805,-0.748503762,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,R,0.036938906
1,30,10,JuliaAIC_NeldMeader_AGP0,1052.448154,0.949256012,3.76E-05,11.977,-0.017172475,-0.734973519,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,Julia,0.036938906
1,30,10,JuliaAIC_bobyqa_AGP0,1052.448154,0.949249278,3.76E-05,0.546,-0.02370225,-0.748180008,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,Julia,0.036938906
1,30,10,JuliaAIC_NeldMeader_AGP1,1052.40114,0.930103343,3.01E-05,18.154,-0.027068083,-0.747879395,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,Julia,0.036938906
1,30,10,JuliaAIC_bobyqa_AGP1,1052.530104,0.921132582,2.99E-05,2.694,-0.017174444,-0.734955813,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,Julia,0.036938906
1,30,10,JuliaLRT,0,0,0.007103839,0.997,0,0,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,Julia,0.036938906
2,30,10,NelderMead_nAGQ0,1080.574498,0.167207518,6.03E-05,1.418181896,-0.392660679,-0.904039859,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,R,0.006981134
2,30,10,NelderMead_nAGQ1,1080.553999,0.16077263,0.000904454,5.492944002,-0.402401966,-0.923623583,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,R,0.006981134
2,30,10,Bobyqa_nAGQ0,1080.574498,0.167207518,6.03E-05,1.409657955,-0.392660679,-0.904039859,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,R,0.006981134
2,30,10,Bobyqa_nAGQ1,1080.553163,0.161961589,0.000882139,3.423626184,-0.401821415,-0.925988408,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,R,0.006981134
2,30,10,nloptwrap_nAGQ0,1080.574512,0.167296466,6.04E-05,0.562063217,-0.392645228,-0.904022874,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,R,0.006981134
2,30,10,nloptwrap_nAGQ1,1080.553806,0.167346234,0.000865619,1.687391996,-0.39851453,-0.927970794,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,R,0.006981134
2,30,10,JuliaAIC_NeldMeader_AGP0,1080.60917,0.166093134,6.40E-05,12.191,-0.392692533,-0.902073166,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,Julia,0.006981134
2,30,10,JuliaAIC_bobyqa_AGP0,1080.573663,0.167248095,6.03E-05,0.402,-0.40065331,-0.924254814,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,Julia,0.006981134
2,30,10,JuliaAIC_NeldMeader_AGP1,1080.588587,0.157868023,4.65E-05,17.086,-0.413076889,-0.886299546,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,Julia,0.006981134
2,30,10,JuliaAIC_bobyqa_AGP1,1081.772717,0.082130211,8.16E-05,0.886,-0.392645106,-0.904099142,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,Julia,0.006981134
2,30,10,JuliaLRT,0,0,0.000422746,0.001,0,0,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,Julia,0.006981134
3,30,10,NelderMead_nAGQ0,1116.510205,0.113675245,6.65E-05,2.103415966,-0.497753689,-0.731287651,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,R,0.007979155
3,30,10,NelderMead_nAGQ1,1116.484579,0.110004379,0.005795193,7.025660992,-0.510144429,-0.746876427,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,R,0.007979155
3,30,10,Bobyqa_nAGQ0,1116.510205,0.113675245,6.65E-05,2.063144922,-0.497753689,-0.731287651,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,R,0.007979155
3,30,10,Bobyqa_nAGQ1,1116.484507,0.109918412,0.00578286,5,-0.51040715,-0.747067222,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,R,0.007979155
3,30,10,nloptwrap_nAGQ0,1116.510224,0.113888873,6.60E-05,1.061028957,-0.497879969,-0.731783515,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,R,0.007979155
3,30,10,nloptwrap_nAGQ1,1116.510219,0.118385778,0.006583221,2.062317133,-0.497879969,-0.731783515,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,R,0.007979155
3,30,10,JuliaAIC_NeldMeader_AGP0,1116.510201,0.113672117,6.65E-05,13.128,-0.497752297,-0.731281541,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,Julia,0.007979155
3,30,10,JuliaAIC_bobyqa_AGP0,1116.807697,0.113504075,6.73E-05,0.778,-0.498367158,-0.743261171,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,Julia,0.007979155
3,30,10,JuliaAIC_NeldMeader_AGP1,1116.501784,0.110942662,5.25E-05,67.933,-0.505708589,-0.735781598,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,Julia,0.007979155
3,30,10,JuliaAIC_bobyqa_AGP1,1116.558997,0.099839763,6.01E-05,1.46,-0.494714355,-0.728505916,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,Julia,0.007979155
3,30,10,JuliaLRT,0,0,0.006082216,0,0,0,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,Julia,0.007979155
4,30,10,NelderMead_nAGQ0,1028.937142,0.6297642,0.000734066,4.194591999,0.114600687,-0.759954337,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,R,0.008930922
4,30,10,NelderMead_nAGQ1,1028.914297,0.616172763,0.002860641,9.112676859,0.123543659,-0.777764727,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,R,0.008930922
4,30,10,Bobyqa_nAGQ0,1028.937142,0.6297642,0.000734066,4.207933187,0.114600687,-0.759954337,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,R,0.008930922
4,30,10,Bobyqa_nAGQ1,1028.914238,0.615257519,0.002853123,7.493988037,0.123917751,-0.777967549,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,R,0.008930922
4,30,10,nloptwrap_nAGQ0,1029.263099,0.637051603,0.000685055,0.354822874,0.11066607,-0.760631234,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,R,0.008930922
4,30,10,nloptwrap_nAGQ1,1029.126726,0.606313134,0.002362219,1.655050039,0.126036431,-0.782933428,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,R,0.008930922
4,30,10,JuliaAIC_NeldMeader_AGP0,1028.933847,0.629748356,0.000736165,6.372,0.114614741,-0.759983448,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,Julia,0.008930922
4,30,10,JuliaAIC_bobyqa_AGP0,1028.965582,0.646133751,0.000826216,0.304,0.124062429,-0.778413594,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,Julia,0.008930922
4,30,10,JuliaAIC_NeldMeader_AGP1,1028.914031,0.602519404,0.000587023,18.112,0.119413323,-0.769907084,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,Julia,0.008930922
4,30,10,JuliaAIC_bobyqa_AGP1,1028.946039,0.618785295,0.00066203,0.73,0.109963067,-0.751718209,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,Julia,0.008930922
4,30,10,JuliaLRT,0,0,0.001955219,0,0,0,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,Julia,0.008930922
5,30,10,NelderMead_nAGQ0,1115.547426,0.031848349,0.000190579,22.47270107,-0.401023312,-0.702067001,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,R,0.00698185
5,30,10,NelderMead_nAGQ1,1115.531305,0.031369936,0.00398331,40.23632622,-0.405940694,-0.713952051,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,R,0.00698185
5,30,10,Bobyqa_nAGQ0,1115.547426,0.031848349,0.000190579,22.49243116,-0.401023312,-0.702067001,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,R,0.00698185
5,30,10,Bobyqa_nAGQ1,1115.530796,0.031006572,0.003943529,39.80595899,-0.406790652,-0.714693838,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,R,0.00698185
5,30,10,nloptwrap_nAGQ0,1115.546091,0.031796675,0.000190101,0.375025034,-0.401127209,-0.702161898,2,5,8,0.025,0.5,0,0.108,0.1,0.1,0.1,R,0.00698185
