n,ConditionsOfInterest,StandardValue1,StandardValue2,reps,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,power_Accuracy,power_Precision,power_Accuracy_Twolevel,power_Precision_Twolevel,Duration
10,2,5,8,40,0.1,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.82,1.0,1.0,253547 milliseconds
12,2,5,8,40,0.1,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.87,1.0,1.0,271458 milliseconds
14,2,5,8,40,0.1,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.82,1.0,1.0,318827 milliseconds
16,2,5,8,40,0.1,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.82,1.0,1.0,399777 milliseconds
18,2,5,8,40,0.1,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.92,1.0,1.0,462969 milliseconds
20,2,5,8,40,0.1,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.95,1.0,1.0,513924 milliseconds
10,2,5,8,40,0.1,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.24,1.0,0.72,222578 milliseconds
12,2,5,8,40,0.1,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.26,1.0,0.81,266908 milliseconds
14,2,5,8,40,0.1,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.25,1.0,0.85,311746 milliseconds
16,2,5,8,40,0.1,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.35,1.0,0.82,391027 milliseconds
18,2,5,8,40,0.1,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.28,1.0,0.91,460208 milliseconds
20,2,5,8,40,0.1,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.35,1.0,0.95,504018 milliseconds
10,2,5,8,40,0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.16,1.0,0.04,219430 milliseconds
12,2,5,8,40,0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.18,1.0,0.05,262473 milliseconds
14,2,5,8,40,0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.2,1.0,0.04,307038 milliseconds
16,2,5,8,40,0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.2,1.0,0.05,387321 milliseconds
18,2,5,8,40,0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.21,1.0,0.1,431240 milliseconds
20,2,5,8,40,0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.24,1.0,0.05,488197 milliseconds
10,2,5,8,40,0.1,0.25,0,0.108,0.1,0.1,0.1,1.0,0.52,1.0,0.43,218247 milliseconds
12,2,5,8,40,0.1,0.25,0,0.108,0.1,0.1,0.1,1.0,0.59,1.0,0.51,261925 milliseconds
14,2,5,8,40,0.1,0.25,0,0.108,0.1,0.1,0.1,1.0,0.72,1.0,0.68,302811 milliseconds
16,2,5,8,40,0.1,0.25,0,0.108,0.1,0.1,0.1,1.0,0.71,1.0,0.58,382371 milliseconds
18,2,5,8,40,0.1,0.25,0,0.108,0.1,0.1,0.1,1.0,0.79,1.0,0.72,432910 milliseconds
20,2,5,8,40,0.1,0.25,0,0.108,0.1,0.1,0.1,1.0,0.86,1.0,0.72,488407 milliseconds
10,2,5,8,40,0.1,0.5,0,0.108,0.1,0.1,0.1,1.0,0.88,1.0,0.89,226436 milliseconds
12,2,5,8,40,0.1,0.5,0,0.108,0.1,0.1,0.1,1.0,0.94,1.0,0.96,260734 milliseconds
14,2,5,8,40,0.1,0.5,0,0.108,0.1,0.1,0.1,1.0,0.98,1.0,0.95,303712 milliseconds
16,2,5,8,40,0.1,0.5,0,0.108,0.1,0.1,0.1,1.0,0.99,1.0,1.0,386047 milliseconds
18,2,5,8,40,0.1,0.5,0,0.108,0.1,0.1,0.1,1.0,1.0,1.0,0.99,439171 milliseconds
20,2,5,8,40,0.1,0.5,0,0.108,0.1,0.1,0.1,1.0,0.99,1.0,1.0,481031 milliseconds
