"","value","label","reps","PSE_Difference","JND_Difference","StandardValues","nStandardValues","TrialsPerSubject","SD_ResponseFunction","Mean_Variability_Between","SD_Variability_Between","nSubjects"
"1",0.92,"Accuracy GLMM",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,10
"2",0.185,"Precision GLMM",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,10
"3",0.135,"Accuracy Two-Level",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,10
"4",0.305,"Precision Two-Level",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,10
"5",0.705,"Accuracy Two-Level LMM",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,10
"6",0.345,"Precision Two-Level LMM",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,10
"7",0.045,"Accuracy GLMM Only Intercepts",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,10
"8",0.295,"Precision GLMM Only Intercepts",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,10
"9",0.95,"Accuracy GLMM",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,12
"10",0.265,"Precision GLMM",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,12
"11",0.24,"Accuracy Two-Level",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,12
"12",0.435,"Precision Two-Level",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,12
"13",0.76,"Accuracy Two-Level LMM",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,12
"14",0.465,"Precision Two-Level LMM",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,12
"15",0.05,"Accuracy GLMM Only Intercepts",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,12
"16",0.31,"Precision GLMM Only Intercepts",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,12
"17",0.96,"Accuracy GLMM",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,14
"18",0.315,"Precision GLMM",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,14
"19",0.23,"Accuracy Two-Level",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,14
"20",0.505,"Precision Two-Level",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,14
"21",0.825,"Accuracy Two-Level LMM",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,14
"22",0.515,"Precision Two-Level LMM",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,14
"23",0.065,"Accuracy GLMM Only Intercepts",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,14
"24",0.39,"Precision GLMM Only Intercepts",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,14
"25",0.985,"Accuracy GLMM",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,16
"26",0.32,"Precision GLMM",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,16
"27",0.33,"Accuracy Two-Level",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,16
"28",0.55,"Precision Two-Level",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,16
"29",0.905,"Accuracy Two-Level LMM",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,16
"30",0.57,"Precision Two-Level LMM",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,16
"31",0.08,"Accuracy GLMM Only Intercepts",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,16
"32",0.44,"Precision GLMM Only Intercepts",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,16
"33",0.99,"Accuracy GLMM",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,18
"34",0.325,"Precision GLMM",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,18
"35",0.455,"Accuracy Two-Level",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,18
"36",0.59,"Precision Two-Level",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,18
"37",0.92,"Accuracy Two-Level LMM",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,18
"38",0.61,"Precision Two-Level LMM",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,18
"39",0.075,"Accuracy GLMM Only Intercepts",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,18
"40",0.405,"Precision GLMM Only Intercepts",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,18
"41",0.995,"Accuracy GLMM",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,20
"42",0.36,"Precision GLMM",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,20
"43",0.41,"Accuracy Two-Level",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,20
"44",0.605,"Precision Two-Level",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,20
"45",0.94,"Accuracy Two-Level LMM",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,20
"46",0.635,"Precision Two-Level LMM",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,20
"47",0.025,"Accuracy GLMM Only Intercepts",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,20
"48",0.46,"Precision GLMM Only Intercepts",25,-0.05,0.3,"24",2,100,0.2,0.1,0.1,20
