iteration,reps,n,label,AIC,Pvalues_Accuracy,Pvalues_Interaction,Duration,ConditionsOfInterest,StandardValue1,StandardValue2,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,Program
1,30,10,NelderMead_nAGQ0,1008.8590804914279,0.26521051219276953,0.3897556117655782,4.969611883163452,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
1,30,10,NelderMead_nAGQ1,1008.8177712125727,0.2779460188032822,0.5545741361555779,8.062844038009644,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
1,30,10,Bobyqa_nAGQ0,1008.8590804914279,0.26521051219276953,0.3897556117655782,4.922144889831543,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
1,30,10,Bobyqa_nAGQ1,1008.8177686343496,0.27787715357274584,0.5543704765694224,8.565343141555786,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
1,30,10,nloptwrap_nAGQ0,1008.8594155543082,0.2654204262578727,0.39014008361086816,1.0345048904418945,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
1,30,10,nloptwrap_nAGQ1,1008.8183411626657,0.2768108555049813,0.5563500094121907,2.1140518188476562,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
1,30,10,JuliaAIC_NeldMeader_AGP0,1008.8536653222362,0.21821779487013412,0.342558364570676,8.51,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
1,30,10,JuliaAIC_bobyqa_AGP0,1008.8536709341207,0.218183371564036,0.3425203822499932,0.375,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
2,30,10,NelderMead_nAGQ0,945.225868747439,0.7956048186002357,0.6754792374032064,1.1559779644012451,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
2,30,10,NelderMead_nAGQ1,945.1850326182284,0.8260061970418011,0.7822653295084313,5.344351053237915,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
2,30,10,Bobyqa_nAGQ0,945.225868747439,0.7956048186002357,0.6754792374032064,1.2013888359069824,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
2,30,10,Bobyqa_nAGQ1,945.1850320182203,0.8261227569255281,0.7821828838287878,3.2525742053985596,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
2,30,10,nloptwrap_nAGQ0,945.2258782825674,0.7955955827103376,0.6756140630688628,0.5515429973602295,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
