iteration,reps,n,label,AIC,Pvalues_Accuracy,Pvalues_Interaction,Duration,Coefficients_Accuracy,Coefficients_Interaction,ConditionsOfInterest,StandardValue1,StandardValue2,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,Program,Duration_SimulateDataset
<<<<<<< HEAD
1,30,10,NelderMead_nAGQ0,960.8287622401341,0.30610158474658966,0.582217154936997,3.455760955810547,-0.17523151835716305,0.10265128513426393,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.03690004348754883
1,30,10,NelderMead_nAGQ1,960.8042863244217,0.31358013101025944,0.7605668418180522,9.527523040771484,-0.17740467898238493,0.10364146762649704,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.03690004348754883
1,30,10,Bobyqa_nAGQ0,960.8287622401341,0.30610158474658966,0.582217154936997,3.2632429599761963,-0.17523151835716305,0.10265128513426393,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.03690004348754883
1,30,10,Bobyqa_nAGQ1,960.8042690928421,0.31357306682930886,0.7610530397835545,6.124624013900757,-0.17741935405463707,0.10342511955111727,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.03690004348754883
1,30,10,nloptwrap_nAGQ0,960.8288112942391,0.3062036886601017,0.5834789174458644,0.8557438850402832,-0.17523363724307256,0.1023068040483333,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.03690004348754883
1,30,10,nloptwrap_nAGQ1,960.8058023383155,0.31988318045969466,0.7724614601627293,1.9208619594573975,-0.17542809364139988,0.0983609528491885,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.03690004348754883
1,30,10,R: LRT,0.0,0.0,0.9943339824676514,0.9943339824676514,0.0,0.0,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.03690004348754883
1,30,10,JuliaAIC_NeldMeader_AGP0,960.8287572323475,0.30610806161734394,0.5822552375396804,14.075,-0.17523016881658984,0.10264102154762296,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,Julia,0.03690004348754883
1,30,10,JuliaAIC_bobyqa_AGP0,960.8287578155293,0.30607512938527465,0.5820420677266105,0.364,-0.17746691800116865,0.10347958030485103,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,Julia,0.03690004348754883
1,30,10,JuliaAIC_NeldMeader_AGP1,960.8042243807977,0.3009168201359947,0.5805456408505688,25.639,-0.12226745104299429,0.06008215484866297,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,Julia,0.03690004348754883
1,30,10,JuliaAIC_bobyqa_AGP1,960.9061325379363,0.48221985237230863,0.7481510333784837,5.197,-0.1752370775812821,0.10269919265926626,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,Julia,0.03690004348754883
1,30,10,JuliaLRT,0.0,0.0,0.7624742740357613,0.969,0.0,0.0,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,Julia,0.03690004348754883
2,30,10,NelderMead_nAGQ0,984.7584142040014,0.0059916692021022575,0.45133385705574836,1.7542901039123535,-0.636647060847281,-0.17678347950762102,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.007998943328857422
2,30,10,NelderMead_nAGQ1,984.7433461647801,0.006114240241669736,0.5654753692436514,8.642889976501465,-0.651924376452534,-0.18020865122301544,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.007998943328857422
2,30,10,Bobyqa_nAGQ0,984.7584142040014,0.0059916692021022575,0.45133385705574836,1.7692649364471436,-0.636647060847281,-0.17678347950762102,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.007998943328857422
2,30,10,Bobyqa_nAGQ1,984.7431406954641,0.006079562020054372,0.5652971996590915,3.9534268379211426,-0.6523319462302367,-0.1802891263393627,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.007998943328857422
2,30,10,nloptwrap_nAGQ0,985.6823532135902,0.0011606826993560187,0.5443987921166873,0.5854671001434326,-0.6437039623933256,-0.14153150561212902,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.007998943328857422
2,30,10,nloptwrap_nAGQ1,985.6663414386201,0.0013333391758695516,0.6333963625795189,1.7772769927978516,-0.6575042341606014,-0.14735006257679323,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.007998943328857422
2,30,10,R: LRT,0.0,0.0,0.7360811233520508,0.7360811233520508,0.0,0.0,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.007998943328857422
2,30,10,JuliaAIC_NeldMeader_AGP0,984.7568574708864,0.005993627679229801,0.45110105756279073,4.945,-0.6366189070615518,-0.1768863908607391,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,Julia,0.007998943328857422
2,30,10,JuliaAIC_bobyqa_AGP0,984.7568549851836,0.005992208179112871,0.4510829283003543,0.585,-0.6521961895904034,-0.18041008281353038,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,Julia,0.007998943328857422
2,30,10,JuliaAIC_NeldMeader_AGP1,984.7433119006375,0.00486545646665388,0.44311339454257453,9.546,-0.6512608963521904,-0.1828863576946653,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,Julia,0.007998943328857422
2,30,10,JuliaAIC_bobyqa_AGP1,984.7431936490359,0.004961126235813513,0.4368828106336091,1.022,-0.6366175952378824,-0.1768940478501406,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,Julia,0.007998943328857422
2,30,10,JuliaLRT,0.0,0.0,0.5093235618205527,0.0,0.0,0.0,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,Julia,0.007998943328857422
3,30,10,NelderMead_nAGQ0,1055.3316924118126,0.20756556133740167,0.26076214581588886,4.068122863769531,-0.30166606614925523,-0.21081806420659885,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.0070002079010009766
3,30,10,NelderMead_nAGQ1,1055.3074349564026,0.2086891310008427,0.46688071063270914,12.92450499534607,-0.3108729047246741,-0.21508195156572255,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.0070002079010009766
3,30,10,Bobyqa_nAGQ0,1055.3316924118126,0.20756556133740167,0.26076214581588886,4.029217004776001,-0.30166606614925523,-0.21081806420659885,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.0070002079010009766
3,30,10,Bobyqa_nAGQ1,1055.3073696643316,0.2081852754148852,0.4665345042999632,7.728286027908325,-0.3111634909061253,-0.21525004259346908,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.0070002079010009766
3,30,10,nloptwrap_nAGQ0,1055.3817033130244,0.21244281844556281,0.27855458316497106,0.45084595680236816,-0.2983144713157446,-0.20293651214086264,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.0070002079010009766
3,30,10,nloptwrap_nAGQ1,1055.358325714065,0.21256317216338547,0.48373649609820557,1.61667799949646,-0.3072755447124478,-0.2055992903404262,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.0070002079010009766
3,30,10,R: LRT,0.0,0.0,1.0033180713653564,1.0033180713653564,0.0,0.0,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.0070002079010009766
3,30,10,JuliaAIC_NeldMeader_AGP0,1055.3278007209137,0.20751047315493715,0.2599713607619744,9.756,-0.301778526178465,-0.21121151685154751,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,Julia,0.0070002079010009766
3,30,10,JuliaAIC_bobyqa_AGP0,1055.5887396053472,0.21448473322561612,0.2938008669907813,0.595,-0.30569543507190133,-0.22304276611123333,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,Julia,0.0070002079010009766
3,30,10,JuliaAIC_NeldMeader_AGP1,1055.535074861189,0.19847653078432878,0.23669825720073265,45.197,-0.31075870278838813,-0.21510368921898834,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,Julia,0.0070002079010009766
3,30,10,JuliaAIC_bobyqa_AGP1,1055.3074269557421,0.19480876709946188,0.252239949828986,2.025,-0.2940633492213197,-0.1972552482643742,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,Julia,0.0070002079010009766
3,30,10,JuliaLRT,0.0,0.0,0.6131078153904275,0.0,0.0,0.0,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,Julia,0.0070002079010009766
4,30,10,NelderMead_nAGQ0,922.2575860235373,0.12637157370223107,0.9286946145542995,2.1123929023742676,-0.3460203538520069,-0.022485174762420148,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.007979154586791992
4,30,10,NelderMead_nAGQ1,922.2435266218114,0.14755746534369324,0.917191344088333,18.297295093536377,-0.34687179054658557,-0.031086671573611634,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.007979154586791992
4,30,10,Bobyqa_nAGQ0,922.2575860235373,0.12637157370223107,0.9286946145542995,2.3038218021392822,-0.3460203538520069,-0.022485174762420148,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.007979154586791992
4,30,10,Bobyqa_nAGQ1,922.2435208453118,0.14744645015891755,0.9176278193707643,3.935436964035034,-0.34705081454151737,-0.03092820298259886,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.007979154586791992
4,30,10,nloptwrap_nAGQ0,922.2577534543188,0.1266550758388052,0.9276401527408102,1.0511879920959473,-0.3458868042570153,-0.022819396698477584,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.007979154586791992
4,30,10,nloptwrap_nAGQ1,922.2439947544569,0.14639540413333554,0.9346277931371636,2.1611900329589844,-0.34985129981079716,-0.024825687718977828,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.007979154586791992
4,30,10,R: LRT,0.0,0.0,0.4528219699859619,0.4528219699859619,0.0,0.0,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.007979154586791992
4,30,10,JuliaAIC_NeldMeader_AGP0,922.1183625169272,0.11151625148558966,0.9791029458619372,6.076,-0.3552812873056651,-0.006564410773292127,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,Julia,0.007979154586791992
4,30,10,JuliaAIC_bobyqa_AGP0,922.2544098804171,0.1264763967381381,0.9285779555571548,0.291,-0.35631713557564404,-0.014700512160218879,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,Julia,0.007979154586791992
4,30,10,JuliaAIC_NeldMeader_AGP1,922.1077464616724,0.11094967095754418,0.9533153353834525,25.688,-0.3468783110733862,-0.03171509277284674,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,Julia,0.007979154586791992
