n,ConditionsOfInterest,StandardValue1,StandardValue2,reps,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,power_Accuracy,power_Precision,Duration
10,2,5,8,30,0.1,0.2,0,0.108,0.1,0.1,0.1,1,0.4,5690
12,2,5,8,30,0.1,0.2,0,0.108,0.1,0.1,0.1,1,0.6,7372
14,2,5,8,30,0.1,0.2,0,0.108,0.1,0.1,0.1,1,0.8,7103
16,2,5,8,30,0.1,0.2,0,0.108,0.1,0.1,0.1,1,0.5,8795
18,2,5,8,30,0.1,0.2,0,0.108,0.1,0.1,0.1,1,0.6,10445
20,2,5,8,30,0.1,0.2,0,0.108,0.1,0.1,0.1,1,0.8,9961
10,2,5,8,40,0.1,0.2,0,0.108,0.1,0.1,0.1,1,0.4,6171
12,2,5,8,40,0.1,0.2,0,0.108,0.1,0.1,0.1,1,0.8,7347
14,2,5,8,40,0.1,0.2,0,0.108,0.1,0.1,0.1,1,0.9,10320
16,2,5,8,40,0.1,0.2,0,0.108,0.1,0.1,0.1,1,0.7,18338
18,2,5,8,40,0.1,0.2,0,0.108,0.1,0.1,0.1,1,0.8,20920
20,2,5,8,40,0.1,0.2,0,0.108,0.1,0.1,0.1,1,0.8,24066
10,2,5,8,50,0.1,0.2,0,0.108,0.1,0.1,0.1,1,0.7,9200
12,2,5,8,50,0.1,0.2,0,0.108,0.1,0.1,0.1,1,0.8,11453
14,2,5,8,50,0.1,0.2,0,0.108,0.1,0.1,0.1,1,0.7,19683
16,2,5,8,50,0.1,0.2,0,0.108,0.1,0.1,0.1,1,1,31842
18,2,5,8,50,0.1,0.2,0,0.108,0.1,0.1,0.1,1,0.7,28859
20,2,5,8,50,0.1,0.2,0,0.108,0.1,0.1,0.1,1,0.8,22413
10,2,5,8,60,0.1,0.2,0,0.108,0.1,0.1,0.1,1,0.9,10256
12,2,5,8,60,0.1,0.2,0,0.108,0.1,0.1,0.1,1,0.8,23585
14,2,5,8,60,0.1,0.2,0,0.108,0.1,0.1,0.1,1,0.8,26560
16,2,5,8,60,0.1,0.2,0,0.108,0.1,0.1,0.1,1,0.9,31914
18,2,5,8,60,0.1,0.2,0,0.108,0.1,0.1,0.1,1,0.9,31075
20,2,5,8,60,0.1,0.2,0,0.108,0.1,0.1,0.1,1,1,43954
,,,,,,,,,,,,,,427322
