iteration,reps,n,label,AIC,Pvalues_Accuracy,Pvalues_Interaction,Duration,Coefficients_Accuracy,Coefficients_Interaction,ConditionsOfInterest,StandardValue1,StandardValue2,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,Program,Duration_SimulateDataset
1,30,10,NelderMead_nAGQ0,1015.5180156708144,0.2896766844002311,5.623738706869857e-11,2.282927989959717,0.35868934926789553,0.804852940750939,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.06283187866210938
1,30,10,NelderMead_nAGQ1,1015.5009780387137,0.2903932471247877,0.003951494675129087,5.186132192611694,0.3646362026217673,0.8183591130759976,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.06283187866210938
1,30,10,Bobyqa_nAGQ0,1015.5180156708144,0.2896766844002311,5.623738706869857e-11,2.2709641456604004,0.35868934926789553,0.804852940750939,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.06283187866210938
1,30,10,Bobyqa_nAGQ1,1015.500967774672,0.2904025192333857,0.0039540532998584635,3.9370250701904297,0.3645838026417682,0.8182569841428896,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.06283187866210938
1,30,10,nloptwrap_nAGQ0,1016.2483587324696,0.28397519418302236,8.865496282136783e-11,0.6591269969940186,0.3559098908750192,0.7954159235465055,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.06283187866210938
1,30,10,nloptwrap_nAGQ1,1016.2477618959817,0.29287235125218725,0.005128341614032375,1.2831079959869385,0.3559098908750192,0.7954159235465055,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.06283187866210938
1,30,10,R: LRT,0.0,0.0,0.005921142192652668,0.5572760105133057,0.0,0.0,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.06283187866210938
1,30,10,JuliaAIC_NeldMeader_AGP0,1015.5179270637959,0.28967740867316866,5.6238022528634696e-11,5.938,0.35869024542426053,0.8048581925916041,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.06283187866210938
1,30,10,JuliaAIC_bobyqa_AGP0,1015.517927114251,0.2897475657931918,5.57694334355635e-11,0.591,0.3586214325271992,0.817252153511995,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.06283187866210938
1,30,10,JuliaAIC_NeldMeader_AGP1,1015.5093735252965,0.28965307792320794,3.838073718006341e-11,12.11,0.25721194267990855,0.815537047443513,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.06283187866210938
1,30,10,JuliaAIC_bobyqa_AGP1,1016.3908361369994,0.44565729120252057,3.720227845705762e-11,4.383,0.3587388481509484,0.8050587718288207,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.06283187866210938
1,30,10,JuliaLRT_Fast,0.0,0.0,0.004186992694595909,5.198,0.0,0.0,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.06283187866210938
1,30,10,JuliaLRT_Slow,0.0,0.0,0.006788940451795898,0.783,0.0,0.0,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.06283187866210938
2,30,10,NelderMead_nAGQ0,1040.1619045531775,0.6382034475252303,0.15677842154193197,2.4971351623535156,0.07686898553417344,0.15303393576946941,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.016928911209106445
2,30,10,NelderMead_nAGQ1,1040.150181196185,0.6476165954938464,0.5429354716040478,5.380814075469971,0.07508433980870516,0.15502887770707058,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.016928911209106445
2,30,10,Bobyqa_nAGQ0,1040.1619045531775,0.6382034475252303,0.15677842154193197,2.422502040863037,0.07686898553417344,0.15303393576946941,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.016928911209106445
2,30,10,Bobyqa_nAGQ1,1040.150174882169,0.6476185987160159,0.5433602998703845,5.178736925125122,0.07507852002096693,0.15486380080013054,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.016928911209106445
2,30,10,nloptwrap_nAGQ0,1040.5603827894001,0.6355589607418576,0.13976199490891986,0.47383594512939453,0.0764717216268461,0.15851455521418262,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.016928911209106445
2,30,10,nloptwrap_nAGQ1,1040.5514666416916,0.6297197514618473,0.5399681467479207,1.4762439727783203,0.07862647025424248,0.1586547569615843,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.016928911209106445
2,30,10,R: LRT,0.0,0.0,0.6989913584728693,0.5640120506286621,0.0,0.0,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.016928911209106445
2,30,10,JuliaAIC_NeldMeader_AGP0,1040.1618040205713,0.6382012278897893,0.15680670569466604,3.335,0.07686912018073055,0.15302378961849186,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.016928911209106445
2,30,10,JuliaAIC_bobyqa_AGP0,1040.161805836994,0.6382044885605018,0.15694572955021943,0.901,0.07512346959033873,0.15488788455136013,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.016928911209106445
2,30,10,JuliaAIC_NeldMeader_AGP1,1040.1501307905646,0.6461196415598444,0.15217874555752206,12.895,0.07493145507163029,0.15601278196779803,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.016928911209106445
2,30,10,JuliaAIC_bobyqa_AGP1,1040.150600642384,0.6471157931293345,0.1492502179363062,6.821,0.07686645033444862,0.1529725451075535,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.016928911209106445
2,30,10,JuliaLRT_Fast,0.0,0.0,0.5485075785312682,0.878,0.0,0.0,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.016928911209106445
2,30,10,JuliaLRT_Slow,0.0,0.0,0.5423493808683229,0.908,0.0,0.0,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.016928911209106445
3,30,10,NelderMead_nAGQ0,1037.2723470088972,0.4390479325763463,4.296482007580105e-5,2.553171157836914,-0.24241862621406907,-0.5118863747654819,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.015956878662109375
3,30,10,NelderMead_nAGQ1,1037.2515357690843,0.4242679180724867,0.0524776753139251,14.447321891784668,-0.2530909142857016,-0.5230281212584617,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.015956878662109375
3,30,10,Bobyqa_nAGQ0,1037.2723470088972,0.4390479325763463,4.296482007580105e-5,2.5272390842437744,-0.24241862621406907,-0.5118863747654819,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.015956878662109375
3,30,10,Bobyqa_nAGQ1,1037.25152270039,0.4238058906245504,0.05258855259393982,5.528620958328247,-0.25328410366089477,-0.522753637480673,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.015956878662109375
3,30,10,nloptwrap_nAGQ0,1037.5113833969785,0.4294909684083849,5.26908754998205e-5,0.514132022857666,-0.24624734027650816,-0.5065146276775575,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.015956878662109375
3,30,10,nloptwrap_nAGQ1,1037.4916418299963,0.42540148338032074,0.05632299265540834,1.3510770797729492,-0.25009790690893213,-0.5158993483238522,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.015956878662109375
3,30,10,R: LRT,0.0,0.0,0.05557352561513393,0.6177818775177002,0.0,0.0,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.015956878662109375
3,30,10,JuliaAIC_NeldMeader_AGP0,1037.2721622980557,0.43905439908496974,4.294230259416471e-5,3.349,-0.2424212757543093,-0.5119086625714443,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.015956878662109375
3,30,10,JuliaAIC_bobyqa_AGP0,1037.5111748882925,0.42956810632133213,5.2198500135572257e-5,0.568,-0.25356434863011523,-0.5231497201645958,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.015956878662109375
3,30,10,JuliaAIC_NeldMeader_AGP1,1037.2513484375568,0.41897424114987436,3.045721017318273e-5,14.669,-0.2487796959083397,-0.5233016314823036,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.015956878662109375
3,30,10,JuliaAIC_bobyqa_AGP1,1037.2515755268437,0.42776381600364477,3.0255250842248927e-5,8.89,-0.24628178135374323,-0.5067576974862451,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.015956878662109375
3,30,10,JuliaLRT_Fast,0.0,0.0,0.06101700705046532,0.697,0.0,0.0,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.015956878662109375
3,30,10,JuliaLRT_Slow,0.0,0.0,0.052207007263064945,0.7,0.0,0.0,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.015956878662109375
4,30,10,NelderMead_nAGQ0,941.4108668155369,0.13172584601157006,0.9878125907252052,1.107618808746338,0.29475154866889514,0.0020400131670265534,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.015955209732055664
4,30,10,NelderMead_nAGQ1,941.3760773290952,0.14454373365480547,0.9920235829103543,5.300331115722656,0.3113264613676405,0.002801899969605625,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.015955209732055664
4,30,10,Bobyqa_nAGQ0,941.4108668155369,0.13172584601157006,0.9878125907252052,1.0665459632873535,0.29475154866889514,0.0020400131670265534,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.015955209732055664
4,30,10,Bobyqa_nAGQ1,941.3760773088162,0.14521520038646937,0.9920344619049856,2.6836941242218018,0.3113300409002649,0.002805848015395755,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.015955209732055664
4,30,10,nloptwrap_nAGQ0,943.6376039916166,0.11700273364595412,0.908492544577456,0.48769187927246094,0.26715750189026843,0.015078770881001045,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.015955209732055664
4,30,10,nloptwrap_nAGQ1,943.6138111839248,0.15472195403135047,0.9561536104757271,1.22576904296875,0.26920607268164204,0.01591058892872368,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.015955209732055664
