iteration,reps,n,label,AIC,Pvalues_Accuracy,Pvalues_Interaction,Duration,Coefficients_Accuracy,Coefficients_Interaction,ConditionsOfInterest,StandardValue1,StandardValue2,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,Program,Duration_SimulateDataset
1,30,10,NelderMead_nAGQ0,974.2859723253497,0.0563136859089298,0.8403495515023007,0.610605001449585,-0.31382177596812816,0.03931624331640148,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.015602827072143555
1,30,10,NelderMead_nAGQ1,974.2748213307002,0.05401965040558027,0.8388527545349795,3.357062816619873,-0.3181192606503781,0.03978918435939373,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.015602827072143555
1,30,10,Bobyqa_nAGQ0,974.2859723253497,0.0563136859089298,0.8403495515023007,0.5914061069488525,-0.31382177596812816,0.03931624331640148,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.015602827072143555
1,30,10,Bobyqa_nAGQ1,974.2748097929283,0.053825870768120336,0.838931749525917,1.5523459911346436,-0.31837631680718176,0.03976898653495025,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.015602827072143555
1,30,10,nloptwrap_nAGQ0,974.2859724078725,0.05631330120229664,0.8403396955767721,0.2763528823852539,-0.31382233722673586,0.039318706038851126,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.015602827072143555
1,30,10,nloptwrap_nAGQ1,974.2844212306547,0.05715599253173875,0.8405210398518541,0.5936291217803955,-0.31382233722673586,0.039318706038851126,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.015602827072143555
1,30,10,R: LRT,0.0,0.0,0.8401762375587638,0.3436720371246338,0.0,0.0,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.015602827072143555
1,30,10,JuliaAIC_NeldMeader_AGP0,974.2844209567689,0.05632595019523151,0.8403292634239864,0.838,-0.3138245513354822,0.0393258943073933,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,Julia,0.015602827072143555
1,30,10,JuliaAIC_bobyqa_AGP0,974.2844209542534,0.05632590645239448,0.8403343091393414,0.172,-0.3184125230006084,0.03976276455582439,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,Julia,0.015602827072143555
1,30,10,JuliaAIC_NeldMeader_AGP1,974.2747721844293,0.05300011101297972,0.8387808493022249,4.467,-0.31839167624717124,0.039747260133711534,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,Julia,0.015602827072143555
1,30,10,JuliaAIC_bobyqa_AGP1,974.2747746223098,0.0530157917129984,0.8388426679196644,1.72,-0.31382455203001675,0.039324649568359106,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,Julia,0.015602827072143555
1,30,10,JuliaLRT,0.0,0.0,0.8401975700457681,2.749,0.0,0.0,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,Julia,0.015602827072143555
2,30,10,NelderMead_nAGQ0,961.492214717514,0.29682379592750746,0.3757472249557192,0.5467689037322998,-0.1718590926476541,-0.20179116161386565,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.0
2,30,10,NelderMead_nAGQ1,961.480424260259,0.2917758402169113,0.37434961692842733,2.12608003616333,-0.17436627211904637,-0.20358780673332846,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.0
2,30,10,Bobyqa_nAGQ0,961.492214717514,0.29682379592750746,0.3757472249557192,0.5467491149902344,-0.1718590926476541,-0.20179116161386565,2,5,8,0.025,0.05,0,0.108,0.1,0.1,0.1,R,0.0
