n,ConditionsOfInterest,StandardValue1,StandardValue2,reps,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,power_Accuracy,power_Precision,Mean_DurationGLMM,SD_DurationGLMM,Mean_DurationDataframe,SD_DurationDataframe,nIterations
10,2,5,8,30,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.48,492.08,245.8446189499918,9.04,1.619670748434179,25
12,2,5,8,30,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.44,657.44,338.4339029510292,11.28,2.3366642891095846,25
14,2,5,8,30,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.64,716.48,137.74587713128355,11.92,3.081125335544358,25
16,2,5,8,30,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.44,869.4,240.72252352726227,12.44,2.001665972800324,25
18,2,5,8,30,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.68,903.76,310.32298765426106,13.48,1.8284784202536637,25
20,2,5,8,30,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.68,1113.72,328.56918601719184,14.48,2.485290056847825,25
10,2,5,8,40,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.44,725.96,306.95079410224696,10.96,2.1694853460363968,25
12,2,5,8,40,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.56,826.36,337.1360852830797,12.08,2.498666310921356,25
14,2,5,8,40,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.68,1047.92,433.7963154907304,14.0,1.8929694486000912,25
16,2,5,8,40,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.64,1806.08,725.6960405936726,17.32,6.1625211291050865,25
18,2,5,8,40,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.8,1933.44,527.3442171232499,17.12,2.7736858750286295,25
20,2,5,8,40,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.84,2041.36,565.8369818242707,18.6,2.3273733406281565,25
10,2,5,8,50,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.64,887.52,383.96018890852037,12.56,1.8275666882497064,25
12,2,5,8,50,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.68,1015.4,259.3339224500592,13.96,1.2069244660154455,25
14,2,5,8,50,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.72,2000.76,723.4965606921247,16.64,2.079262689833425,25
16,2,5,8,50,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.8,2244.52,891.8251940075851,17.4,1.154700538379252,25
18,2,5,8,50,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.84,2301.52,663.7112901455472,20.96,3.168595903550972,25
20,2,5,8,50,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.88,2525.72,1063.2528908966108,21.64,2.01825006709608,25
10,2,5,8,60,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.76,1292.6,555.3929539824335,16.32,5.336353311641447,25
12,2,5,8,60,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.68,1752.84,804.9346081100833,17.16,1.598957994028194,25
14,2,5,8,60,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,1.0,2307.2,1179.5869686744875,19.48,2.5839246635044657,25
16,2,5,8,60,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.88,2597.84,968.1016940383897,21.44,2.8734416066220425,25
18,2,5,8,60,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.84,3063.88,1250.5748451545526,23.68,2.9961085872622615,25
20,2,5,8,60,0.1,0.2,0,0.108,0.1,0.1,0.1,1.0,0.92,3602.44,1306.2394522700142,25.56,3.1235663378046996,25
