"","reps","n","iteration","Duration_NelderMead_nAGQ0","Pvalues_NelderMead_nAGQ0_Accuracy","Pvalues_NelderMead_nAGQ0_Precision","AIC_NelderMead_nAGQ0","Duration_NelderMead_nAGQ1","Pvalues_NelderMead_nAGQ1_Accuracy","Pvalues_NelderMead_nAGQ1_Precision","AIC_NelderMead_nAGQ1","Duration_Bobyqa_nAGQ0","Pvalues_Bobyqa_nAGQ0_Accuracy","Pvalues_Bobyqa_nAGQ0_Precision","AIC_Bobyqa_nAGQ0","Duration_Bobyqa_nAGQ1","Pvalues_Bobyqa_nAGQ1_Accuracy","Pvalues_Bobyqa_nAGQ1_Precision","AIC_Bobyqa_nAGQ1","Duration_nloptwrap_nAGQ0","Pvalues_nloptwrap_nAGQ0_Accuracy","Pvalues_nloptwrap_nAGQ0_Precision","AIC_nloptwrap_nAGQ0","Duration_nloptwrap_nAGQ1","Pvalues_nloptwrap_nAGQ1_Accuracy","Pvalues_nloptwrap_nAGQ1_Precision","AIC_nloptwrap_nAGQ1","Range_PSE_Difference","StandardValues","Range_JND_Difference","Multiplicator_PSE_Standard","Multiplicator_SD_Standard","SD_ResponseFunction","Mean_Variability_Between","SD_Variability_Between","nIterations"
"1",30,10,1,1.37536191940308,4.16578163196555e-06,0.412155239640474,1104.32093883706,6.53681993484497,1.49672511518981e-05,0.504470237299672,1104.30278123202,1.38058114051819,4.16578163196555e-06,0.412155239640474,1104.32093883706,3.12763404846191,1.49566759100868e-05,0.503174906477342,1104.30263005052,0.630357980728149,4.12642388551278e-06,0.412853824545741,1104.3209599481,1.83178019523621,1.4924738876658e-05,0.502319748721138,1104.30270468203,0.1,"5 8",0.2,0,0.108,0.1,0.1,0.1,25
"2",30,10,2,1.367103099823,4.7194977932457e-07,1.29647118617166e-05,1026.0659444086,8.56214308738708,3.47226357785483e-07,0.000295640843210816,1025.99620155733,1.37140989303589,4.7194977932457e-07,1.29647118617166e-05,1026.0659444086,3.79929614067078,3.54170667950487e-07,0.000292545326052772,1025.99582738189,0.681319952011108,8.10582005684172e-07,3.92769940761309e-05,1028.07129974766,1.92809796333313,5.36233785602866e-07,0.000416019817301037,1028.02539763254,0.1,"5 8",0.2,0,0.108,0.1,0.1,0.1,25
"3",30,10,3,1.28045105934143,6.60586927651182e-07,0.63138263424119,1067.72704351427,9.57031917572021,6.38682516953517e-07,0.684915091392538,1067.70475972697,1.42614889144897,6.60586927651182e-07,0.63138263424119,1067.72704351427,3.20746111869812,6.1032923675562e-07,0.680139478394421,1067.70402736753,0.491053104400635,6.49903131472827e-07,0.631839410689467,1067.72714124241,1.41173696517944,1.16917726052963e-06,0.690818604883695,1067.72395494769,0.1,"5 8",0.2,0,0.108,0.1,0.1,0.1,25
"4",30,10,4,1.55010890960693,1.19889311526496e-07,0.00377105750895716,1034.20999429719,7.39351320266724,1.22094597716363e-07,0.0134498966777815,1034.18219597284,1.53235411643982,1.19889311526496e-07,0.00377105750895716,1034.20999429719,4.07285404205322,1.24297136861911e-07,0.0133245423910477,1034.181737287,0.372738122940063,1.07296027166842e-07,0.00380153629933942,1034.21156545085,1.4983229637146,1.20419329447165e-07,0.0135669859780602,1034.18378686392,0.1,"5 8",0.2,0,0.108,0.1,0.1,0.1,25
"5",30,10,5,4.74217510223389,0.00359328325831677,0.134987121741711,1092.4183293075,11.2084178924561,0.00401289969515302,0.221669368945101,1092.4123690165,4.70376706123352,0.00359328325831677,0.134987121741711,1092.4183293075,8.00590109825134,0.0039850877992022,0.222132277910465,1092.41221664075,0.959223031997681,0.00331577400724249,0.133760573288762,1092.42166146256,1.90237307548523,0.0042977284242371,0.231798761822676,1092.42015027173,0.1,"5 8",0.2,0,0.108,0.1,0.1,0.1,25
"6",30,10,6,1.64896988868713,0.00771981562519478,0.210555991018184,1055.36949294062,15.6082608699799,0.00721684976222386,0.307175393873598,1055.32421711966,1.66036605834961,0.00771981562519478,0.210555991018184,1055.36949294062,3.28792595863342,0.00721739172490425,0.3071634723067,1055.32421702028,0.712935209274292,0.00768764195367952,0.215078210926539,1055.34178566792,1.74370193481445,0.00744957727320415,0.304465322017192,1055.30002972126,0.1,"5 8",0.2,0,0.108,0.1,0.1,0.1,25
"7",30,10,7,12.7141301631927,3.5725097544216e-09,0.0132482464609057,1026.19244584261,20.351390838623,4.84153769889363e-09,0.0997880021399967,1026.16036659067,12.7202889919281,3.5725097544216e-09,0.0132482464609057,1026.19244584261,15.1342308521271,4.86048959480447e-09,0.0997650822796041,1026.1603374058,0.607429981231689,2.52639684082392e-09,0.0130477849225748,1026.19594893781,1.7474148273468,3.94892246640368e-09,0.0991239331580842,1026.16491779398,0.1,"5 8",0.2,0,0.108,0.1,0.1,0.1,25
"8",30,10,8,1.13939714431763,4.19897331733233e-06,0.0156054747060367,1055.00132151394,7.44378590583801,3.9890885948443e-06,0.0642010631155008,1054.93519099658,1.15151500701904,4.19897331733233e-06,0.0156054747060367,1055.00132151394,3.20104217529297,3.98875313950475e-06,0.064198159831558,1054.93519099659,0.774420022964478,4.23792336879166e-06,0.0155757525608195,1055.00133651283,1.91884803771973,4.23791557248344e-06,0.0632262883304014,1054.93595763958,0.1,"5 8",0.2,0,0.108,0.1,0.1,0.1,25
"9",30,10,9,0.985131025314331,2.14138736528711e-05,0.93895383568124,1076.28162763891,6.11335778236389,0.000510780534594032,0.952280421007108,1076.25331344431,0.971890926361084,2.14138736528711e-05,0.93895383568124,1076.28162763891,2.94098496437073,0.000513510257317858,0.950889616233986,1076.25327809678,0.554864883422852,2.90218401467281e-05,0.889317502823272,1076.28259406539,1.76382613182068,0.000568296145520695,0.923712453281815,1076.25489414627,0.1,"5 8",0.2,0,0.108,0.1,0.1,0.1,25
"10",30,10,10,1.15290808677673,1.24412782549202e-06,0.00699396018425881,1088.50882285178,4.17639517784119,1.80093209664177e-06,0.0134694948287341,1088.49185920357,1.13749003410339,1.24412782549202e-06,0.00699396018425881,1088.50882285178,2.85623693466187,1.78001993258508e-06,0.0133486845966464,1088.49147584212,0.513544082641602,1.26324323732126e-06,0.00699890887742712,1088.50884938914,1.42741084098816,2.18544170919011e-06,0.0142207370247079,1088.50607874592,0.1,"5 8",0.2,0,0.108,0.1,0.1,0.1,25
