iteration,reps,n,label,AIC,Pvalues_Accuracy,Pvalues_Interaction,Duration,ConditionsOfInterest,StandardValue1,StandardValue2,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,Program
1,30,10,NelderMead_nAGQ0,1051.9510808281457,1.658286728015986e-16,0.06320292314612838,17.838730096817017,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1,R
1,30,10,NelderMead_nAGQ1,1051.9213921532416,1.389626275594809e-15,0.23483580263184137,35.21318507194519,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1,R
1,30,10,Bobyqa_nAGQ0,1051.9510808281457,1.658286728015986e-16,0.06320292314612838,17.675851106643677,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1,R
1,30,10,Bobyqa_nAGQ1,1051.9212781965905,1.4227292577319451e-15,0.23388165778393,23.16642689704895,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1,R
1,30,10,nloptwrap_nAGQ0,1051.9576401708437,9.6349437737286e-17,0.06267992140202612,0.5202250480651855,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1,R
1,30,10,nloptwrap_nAGQ1,1051.9327080476837,1.1248698928403305e-15,0.23622972628390543,1.523420810699463,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1,R
1,30,10,JuliaAIC_NeldMeader_AGP0,1051.9310107709434,1.3154778023381089e-11,0.03761465772460374,29.067,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1,Julia
1,30,10,JuliaAIC_bobyqa_AGP0,1051.9310112773019,1.3160821256392715e-11,0.037601367312991095,1.078,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1,Julia
2,30,10,NelderMead_nAGQ0,1030.634145744941,1.5984637965753954e-7,0.05282632914527237,5.438507080078125,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1,R
2,30,10,NelderMead_nAGQ1,1030.6155941806255,3.9629803207794765e-7,0.1681827457944489,12.308815956115723,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1,R
2,30,10,Bobyqa_nAGQ0,1030.634145744941,1.5984637965753954e-7,0.05282632914527237,5.421777009963989,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1,R
2,30,10,Bobyqa_nAGQ1,1030.61546991009,3.9946297481772613e-7,0.16741618820127294,9.050529956817627,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1,R
