n,ConditionsOfInterest,StandardValue1,StandardValue2,reps,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,power_Accuracy,power_Precision,power_Accuracy_Twolevel,power_Precision_Twolevel,Duration
10,2,5,8,100,-0.05,-0.1,0,0.108,0.1,0.2,0.2,1,0.2,0.98,0.26,12.69439487
12,2,5,8,100,-0.05,-0.1,0,0.108,0.1,0.2,0.2,1,0.23,1,0.39,15.08313447
14,2,5,8,100,-0.05,-0.1,0,0.108,0.1,0.2,0.2,1,0.34,1,0.32,17.883711
16,2,5,8,100,-0.05,-0.1,0,0.108,0.1,0.2,0.2,1,0.29,0.99,0.32,20.60055258
18,2,5,8,100,-0.05,-0.1,0,0.108,0.1,0.2,0.2,1,0.33,1,0.49,23.54001105
20,2,5,8,100,-0.05,-0.1,0,0.108,0.1,0.2,0.2,1,0.29,1,0.43,28.9085303
10,2,5,8,100,-0.05,-0.05,0,0.108,0.1,0.2,0.2,1,0.1,0.94,0.07,12.66266863
12,2,5,8,100,-0.05,-0.05,0,0.108,0.1,0.2,0.2,1,0.06,0.99,0.12,15.04328292
14,2,5,8,100,-0.05,-0.05,0,0.108,0.1,0.2,0.2,1,0.07,1,0.07,17.96243984
16,2,5,8,100,-0.05,-0.05,0,0.108,0.1,0.2,0.2,1,0.17,1,0.1,20.27875788
18,2,5,8,100,-0.05,-0.05,0,0.108,0.1,0.2,0.2,1,0.13,1,0.12,24.06709037
20,2,5,8,100,-0.05,-0.05,0,0.108,0.1,0.2,0.2,1,0.09,0.98,0.08,26.69498765
10,2,5,8,100,-0.05,0,0,0.108,0.1,0.2,0.2,1,0.03,0.95,0.02,12.12851805
12,2,5,8,100,-0.05,0,0,0.108,0.1,0.2,0.2,1,0.04,0.99,0.02,15.0902587
14,2,5,8,100,-0.05,0,0,0.108,0.1,0.2,0.2,1,0.04,0.99,0.02,17.92442828
16,2,5,8,100,-0.05,0,0,0.108,0.1,0.2,0.2,1,0.06,1,0.04,20.40446804
18,2,5,8,100,-0.05,0,0,0.108,0.1,0.2,0.2,1,0.04,1,0.03,24.04864148
20,2,5,8,100,-0.05,0,0,0.108,0.1,0.2,0.2,1,0.05,0.99,0.04,26.79748938
10,2,5,8,100,-0.05,0.05,0,0.108,0.1,0.2,0.2,1,0.11,0.95,0.15,12.38915107
12,2,5,8,100,-0.05,0.05,0,0.108,0.1,0.2,0.2,0.99,0.08,0.97,0.11,15.43477975
14,2,5,8,100,-0.05,0.05,0,0.108,0.1,0.2,0.2,1,0.07,1,0.14,18.09264655
16,2,5,8,100,-0.05,0.05,0,0.108,0.1,0.2,0.2,1,0.08,0.99,0.14,21.10314475
18,2,5,8,100,-0.05,0.05,0,0.108,0.1,0.2,0.2,1,0.16,0.99,0.16,24.7622058
20,2,5,8,100,-0.05,0.05,0,0.108,0.1,0.2,0.2,1,0.06,1,0.08,27.1037338
10,2,5,8,100,-0.05,0.1,0,0.108,0.1,0.2,0.2,1,0.19,0.9,0.16,12.40173111
12,2,5,8,100,-0.05,0.1,0,0.108,0.1,0.2,0.2,1,0.22,0.97,0.21,14.79394148
14,2,5,8,100,-0.05,0.1,0,0.108,0.1,0.2,0.2,1,0.17,1,0.21,17.79186285
16,2,5,8,100,-0.05,0.1,0,0.108,0.1,0.2,0.2,1,0.26,1,0.36,22.28768033
18,2,5,8,100,-0.05,0.1,0,0.108,0.1,0.2,0.2,1,0.41,0.98,0.42,23.49840016
20,2,5,8,100,-0.05,0.1,0,0.108,0.1,0.2,0.2,1,0.35,1,0.39,27.2802355
10,2,5,8,100,-0.025,-0.1,0,0.108,0.1,0.2,0.2,0.94,0.25,0.25,0.29,12.79672848
12,2,5,8,100,-0.025,-0.1,0,0.108,0.1,0.2,0.2,0.97,0.25,0.17,0.32,14.96697608
14,2,5,8,100,-0.025,-0.1,0,0.108,0.1,0.2,0.2,0.99,0.33,0.31,0.39,17.23541325
16,2,5,8,100,-0.025,-0.1,0,0.108,0.1,0.2,0.2,1,0.33,0.36,0.38,20.07472448
18,2,5,8,100,-0.025,-0.1,0,0.108,0.1,0.2,0.2,1,0.29,0.53,0.32,22.6473881
20,2,5,8,100,-0.025,-0.1,0,0.108,0.1,0.2,0.2,1,0.43,0.61,0.49,26.1389155
10,2,5,8,100,-0.025,-0.05,0,0.108,0.1,0.2,0.2,0.94,0.11,0.15,0.08,12.34811965
12,2,5,8,100,-0.025,-0.05,0,0.108,0.1,0.2,0.2,0.99,0.06,0.18,0.08,14.72686725
14,2,5,8,100,-0.025,-0.05,0,0.108,0.1,0.2,0.2,1,0.08,0.34,0.07,17.14709677
16,2,5,8,100,-0.025,-0.05,0,0.108,0.1,0.2,0.2,1,0.14,0.4,0.16,20.14160697
18,2,5,8,100,-0.025,-0.05,0,0.108,0.1,0.2,0.2,1,0.1,0.49,0.11,22.74436925
20,2,5,8,100,-0.025,-0.05,0,0.108,0.1,0.2,0.2,1,0.1,0.56,0.15,25.62347991
10,2,5,8,100,-0.025,0,0,0.108,0.1,0.2,0.2,0.95,0.05,0.18,0.04,12.6300921
12,2,5,8,100,-0.025,0,0,0.108,0.1,0.2,0.2,0.99,0.05,0.23,0.05,14.37760418
14,2,5,8,100,-0.025,0,0,0.108,0.1,0.2,0.2,0.98,0.05,0.31,0.04,17.59389253
16,2,5,8,100,-0.025,0,0,0.108,0.1,0.2,0.2,0.99,0.03,0.39,0.05,19.94631927
18,2,5,8,100,-0.025,0,0,0.108,0.1,0.2,0.2,0.99,0.07,0.49,0.07,22.86337295
20,2,5,8,100,-0.025,0,0,0.108,0.1,0.2,0.2,0.99,0.02,0.5,0.04,26.79768442
10,2,5,8,100,-0.025,0.05,0,0.108,0.1,0.2,0.2,0.81,0.05,0.18,0.06,11.94024532
12,2,5,8,100,-0.025,0.05,0,0.108,0.1,0.2,0.2,0.93,0.06,0.25,0.08,14.7128953
14,2,5,8,100,-0.025,0.05,0,0.108,0.1,0.2,0.2,0.91,0.11,0.25,0.14,17.24316367
16,2,5,8,100,-0.025,0.05,0,0.108,0.1,0.2,0.2,0.97,0.07,0.34,0.08,20.05756642
18,2,5,8,100,-0.025,0.05,0,0.108,0.1,0.2,0.2,1,0.14,0.52,0.14,22.08608605
20,2,5,8,100,-0.025,0.05,0,0.108,0.1,0.2,0.2,0.98,0.15,0.61,0.15,25.22964675
10,2,5,8,100,-0.025,0.1,0,0.108,0.1,0.2,0.2,0.84,0.2,0.18,0.21,11.65192853
12,2,5,8,100,-0.025,0.1,0,0.108,0.1,0.2,0.2,0.89,0.15,0.21,0.3,14.30706847
14,2,5,8,100,-0.025,0.1,0,0.108,0.1,0.2,0.2,0.93,0.31,0.25,0.41,17.3079617
16,2,5,8,100,-0.025,0.1,0,0.108,0.1,0.2,0.2,0.93,0.26,0.4,0.29,20.44381262
18,2,5,8,100,-0.025,0.1,0,0.108,0.1,0.2,0.2,0.96,0.34,0.46,0.4,22.84866703
20,2,5,8,100,-0.025,0.1,0,0.108,0.1,0.2,0.2,0.97,0.33,0.59,0.41,25.84656593
10,2,5,8,100,0,-0.1,0,0.108,0.1,0.2,0.2,0,0.19,0,0.25,12.50221985
12,2,5,8,100,0,-0.1,0,0.108,0.1,0.2,0.2,0.02,0.26,0,0.28,15.53602642
14,2,5,8,100,0,-0.1,0,0.108,0.1,0.2,0.2,0.02,0.34,0,0.35,17.35190368
16,2,5,8,100,0,-0.1,0,0.108,0.1,0.2,0.2,0.04,0.32,0,0.43,20.29467388
18,2,5,8,100,0,-0.1,0,0.108,0.1,0.2,0.2,0.01,0.37,0,0.44,22.18571653
20,2,5,8,100,0,-0.1,0,0.108,0.1,0.2,0.2,0.03,0.38,0,0.46,25.75401123
10,2,5,8,100,0,-0.05,0,0.108,0.1,0.2,0.2,0.01,0.05,0,0.07,12.3495697
12,2,5,8,100,0,-0.05,0,0.108,0.1,0.2,0.2,0,0.12,0,0.12,14.54845145
14,2,5,8,100,0,-0.05,0,0.108,0.1,0.2,0.2,0.01,0.03,0,0.13,17.25674558
16,2,5,8,100,0,-0.05,0,0.108,0.1,0.2,0.2,0.01,0.03,0,0.08,19.85471992
18,2,5,8,100,0,-0.05,0,0.108,0.1,0.2,0.2,0.02,0.05,0,0.06,22.65806692
20,2,5,8,100,0,-0.05,0,0.108,0.1,0.2,0.2,0.05,0.15,0,0.1,25.99247667
10,2,5,8,100,0,0,0,0.108,0.1,0.2,0.2,0.02,0.02,0,0.05,12.54604742
12,2,5,8,100,0,0,0,0.108,0.1,0.2,0.2,0.03,0.01,0,0.05,14.69982093
14,2,5,8,100,0,0,0,0.108,0.1,0.2,0.2,0.01,0.03,0,0.01,16.92427957
16,2,5,8,100,0,0,0,0.108,0.1,0.2,0.2,0.02,0.07,0,0.09,20.1828461
18,2,5,8,100,0,0,0,0.108,0.1,0.2,0.2,0.01,0.07,0,0.02,22.43031487
20,2,5,8,100,0,0,0,0.108,0.1,0.2,0.2,0.03,0.08,0,0.08,24.9490376
10,2,5,8,100,0,0.05,0,0.108,0.1,0.2,0.2,0.02,0.05,0,0.07,12.23610625
12,2,5,8,100,0,0.05,0,0.108,0.1,0.2,0.2,0.01,0.08,0,0.11,14.96671812
14,2,5,8,100,0,0.05,0,0.108,0.1,0.2,0.2,0.02,0.07,0,0.11,17.4000547
16,2,5,8,100,0,0.05,0,0.108,0.1,0.2,0.2,0.02,0.17,0,0.12,19.7806276
18,2,5,8,100,0,0.05,0,0.108,0.1,0.2,0.2,0.05,0.14,0,0.19,22.52290528
20,2,5,8,100,0,0.05,0,0.108,0.1,0.2,0.2,0.01,0.1,0,0.08,25.17402962
