n,ConditionsOfInterest,StandardValue1,StandardValue2,reps,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,power_Accuracy,power_Precision,power_Accuracy_Twolevel,power_Precision_Twolevel,Duration
10,2,5,8,70,-0.05,-0.1,0,0.108,0.1,0.2,0.2,1,0.19,0.93,0.14,9.217194017
12,2,5,8,70,-0.05,-0.1,0,0.108,0.1,0.2,0.2,1,0.16,0.99,0.2,11.1198775
14,2,5,8,70,-0.05,-0.1,0,0.108,0.1,0.2,0.2,1,0.19,0.99,0.28,13.59070427
16,2,5,8,70,-0.05,-0.1,0,0.108,0.1,0.2,0.2,1,0.15,0.98,0.16,15.65145008
18,2,5,8,70,-0.05,-0.1,0,0.108,0.1,0.2,0.2,1,0.22,1,0.24,18.53953428
20,2,5,8,70,-0.05,-0.1,0,0.108,0.1,0.2,0.2,1,0.23,0.99,0.26,19.62016957
10,2,5,8,70,-0.05,-0.05,0,0.108,0.1,0.2,0.2,1,0.13,0.94,0.09,9.316686618
12,2,5,8,70,-0.05,-0.05,0,0.108,0.1,0.2,0.2,1,0.02,0.96,0.09,11.28951473
14,2,5,8,70,-0.05,-0.05,0,0.108,0.1,0.2,0.2,1,0.11,0.98,0.06,13.44217213
16,2,5,8,70,-0.05,-0.05,0,0.108,0.1,0.2,0.2,1,0.04,0.98,0.07,14.94022313
18,2,5,8,70,-0.05,-0.05,0,0.108,0.1,0.2,0.2,1,0.09,0.98,0.06,17.89575177
20,2,5,8,70,-0.05,-0.05,0,0.108,0.1,0.2,0.2,1,0.12,1,0.11,19.89441092
10,2,5,8,70,-0.05,0,0,0.108,0.1,0.2,0.2,0.99,0.04,0.93,0.03,9.122143801
12,2,5,8,70,-0.05,0,0,0.108,0.1,0.2,0.2,1,0.05,0.98,0.04,10.90965125
14,2,5,8,70,-0.05,0,0,0.108,0.1,0.2,0.2,1,0.04,0.99,0.06,13.35160373
16,2,5,8,70,-0.05,0,0,0.108,0.1,0.2,0.2,1,0.03,0.98,0.05,15.52783725
18,2,5,8,70,-0.05,0,0,0.108,0.1,0.2,0.2,1,0.02,0.96,0.03,17.0402237
20,2,5,8,70,-0.05,0,0,0.108,0.1,0.2,0.2,1,0.03,0.97,0.04,19.44498897
10,2,5,8,70,-0.05,0.05,0,0.108,0.1,0.2,0.2,0.99,0.03,0.94,0.09,9.371687853
12,2,5,8,70,-0.05,0.05,0,0.108,0.1,0.2,0.2,0.99,0.08,0.98,0.13,11.08582243
14,2,5,8,70,-0.05,0.05,0,0.108,0.1,0.2,0.2,1,0.04,1,0.09,13.3703242
16,2,5,8,70,-0.05,0.05,0,0.108,0.1,0.2,0.2,1,0.06,0.96,0.11,15.40799682
18,2,5,8,70,-0.05,0.05,0,0.108,0.1,0.2,0.2,0.99,0.13,0.98,0.1,17.36820389
20,2,5,8,70,-0.05,0.05,0,0.108,0.1,0.2,0.2,1,0.12,0.98,0.12,19.8461975
10,2,5,8,70,-0.05,0.1,0,0.108,0.1,0.2,0.2,0.99,0.14,0.95,0.13,9.247319082
12,2,5,8,70,-0.05,0.1,0,0.108,0.1,0.2,0.2,1,0.14,0.95,0.15,11.39307179
14,2,5,8,70,-0.05,0.1,0,0.108,0.1,0.2,0.2,1,0.18,0.98,0.21,13.84201876
16,2,5,8,70,-0.05,0.1,0,0.108,0.1,0.2,0.2,1,0.21,1,0.17,15.535196
