"","value","label","nSubjects"
"1",1,"Accuracy GLMM",2
"2",0.26,"Precision GLMM",2
"3",0.99,"Accuracy Two-Level",2
"4",0.1,"Precision Two-Level",2
"5",1,"Accuracy GLMM",3
"6",0.2,"Precision GLMM",3
"7",1,"Accuracy Two-Level",3
"8",0.16,"Precision Two-Level",3
"9",1,"Accuracy GLMM",4
"10",0.29,"Precision GLMM",4
"11",1,"Accuracy Two-Level",4
"12",0.27,"Precision Two-Level",4
"13",1,"Accuracy GLMM",5
"14",0.34,"Precision GLMM",5
"15",1,"Accuracy Two-Level",5
"16",0.25,"Precision Two-Level",5
"17",1,"Accuracy GLMM",6
"18",0.33,"Precision GLMM",6
"19",1,"Accuracy Two-Level",6
"20",0.38,"Precision Two-Level",6
