"","value","label","reps","PSE_Difference","JND_Difference","nSubjects"
"1",0.035,"Accuracy GLMM",25,0,0.3,10
"2",0.245,"Precision GLMM",25,0,0.3,10
"3",0,"Accuracy Two-Level",25,0,0.3,10
"4",0.275,"Precision Two-Level",25,0,0.3,10
"5",0.005,"Accuracy Two-Level LMM",25,0,0.3,10
"6",0.28,"Precision Two-Level LMM",25,0,0.3,10
"7",0.06,"Accuracy GLMM",25,0,0.3,12
"8",0.29,"Precision GLMM",25,0,0.3,12
"9",0,"Accuracy Two-Level",25,0,0.3,12
"10",0.38,"Precision Two-Level",25,0,0.3,12
"11",0.01,"Accuracy Two-Level LMM",25,0,0.3,12
"12",0.4,"Precision Two-Level LMM",25,0,0.3,12
"13",0.06,"Accuracy GLMM",25,0,0.3,14
"14",0.37,"Precision GLMM",25,0,0.3,14
"15",0,"Accuracy Two-Level",25,0,0.3,14
"16",0.455,"Precision Two-Level",25,0,0.3,14
"17",0.035,"Accuracy Two-Level LMM",25,0,0.3,14
"18",0.465,"Precision Two-Level LMM",25,0,0.3,14
"19",0.06,"Accuracy GLMM",25,0,0.3,16
"20",0.32,"Precision GLMM",25,0,0.3,16
"21",0,"Accuracy Two-Level",25,0,0.3,16
"22",0.47,"Precision Two-Level",25,0,0.3,16
"23",0.025,"Accuracy Two-Level LMM",25,0,0.3,16
"24",0.485,"Precision Two-Level LMM",25,0,0.3,16
"25",0.05,"Accuracy GLMM",25,0,0.3,18
"26",0.41,"Precision GLMM",25,0,0.3,18
"27",0,"Accuracy Two-Level",25,0,0.3,18
"28",0.595,"Precision Two-Level",25,0,0.3,18
"29",0.015,"Accuracy Two-Level LMM",25,0,0.3,18
"30",0.635,"Precision Two-Level LMM",25,0,0.3,18
"31",0.04,"Accuracy GLMM",25,0,0.3,20
"32",0.44,"Precision GLMM",25,0,0.3,20
"33",0,"Accuracy Two-Level",25,0,0.3,20
"34",0.61,"Precision Two-Level",25,0,0.3,20
"35",0.01,"Accuracy Two-Level LMM",25,0,0.3,20
"36",0.63,"Precision Two-Level LMM",25,0,0.3,20
