iteration,reps,n,label,AIC,Pvalues_Accuracy,Pvalues_Interaction,Duration,ConditionsOfInterest,StandardValue1,StandardValue2,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,Program
1,30,10,NelderMead_nAGQ0,988.896630963223,0.18894334373369923,0.7258664258977028,1.1502399444580078,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
1,30,10,NelderMead_nAGQ1,988.8819555076276,0.19250998037436406,0.7774460132221364,18.811810970306396,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
1,30,10,Bobyqa_nAGQ0,988.896630963223,0.18894334373369923,0.7258664258977028,1.0818569660186768,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
1,30,10,Bobyqa_nAGQ1,988.8819553653811,0.1924726767395796,0.7774435032431669,2.814919948577881,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
1,30,10,nloptwrap_nAGQ0,988.896640941015,0.18886761684750922,0.7263142126750337,0.462968111038208,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
1,30,10,nloptwrap_nAGQ1,988.8822808567127,0.19176931133098846,0.7655503514755769,1.6008760929107666,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
1,30,10,JuliaAIC_NeldMeader_AGP0,988.894436991261,0.1889838907617402,0.7260333131455992,9.344,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
1,30,10,JuliaAIC_bobyqa_AGP0,988.8903679260272,0.19508667569568805,0.7246291538519345,0.969,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
1,30,10,JuliaAIC_NeldMeader_AGP1,988.8776813737638,0.19557292314811522,0.7461172789220579,10.673,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
1,30,10,JuliaAIC_bobyqa_AGP1,988.8782011603071,0.1953965532199265,0.7468192061830762,1.236,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
2,30,10,NelderMead_nAGQ0,959.1477134436925,0.3058225281925172,0.14408649413752464,1.2809131145477295,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
2,30,10,NelderMead_nAGQ1,959.0884002840298,0.31689484867990814,0.3588896923498837,8.808092832565308,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
2,30,10,Bobyqa_nAGQ0,959.1477134436925,0.3058225281925172,0.14408649413752464,1.298933982849121,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
