iteration,reps,n,label,AIC,Pvalues_Accuracy,Pvalues_Interaction,Duration,Coefficients_Accuracy,Coefficients_Interaction,ConditionsOfInterest,StandardValue1,StandardValue2,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,Program,Duration_SimulateDataset
1,30,10,NelderMead_nAGQ0,992.815067,0.544350356,0.892015482,0.49990797,0.097627096,-0.03271698,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.015599966
1,30,10,NelderMead_nAGQ1,992.7884039,0.54037599,0.889636578,2.719409943,0.099029745,-0.033176828,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.015599966
1,30,10,Bobyqa_nAGQ0,992.815067,0.544350356,0.892015482,0.505609989,0.097627096,-0.03271698,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.015599966
1,30,10,Bobyqa_nAGQ1,992.7884015,0.540923896,0.889706862,1.228163958,0.098896305,-0.033156017,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.015599966
1,30,10,nloptwrap_nAGQ0,992.8150689,0.544380706,0.891982724,0.242777824,0.097620061,-0.032726848,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.015599966
1,30,10,nloptwrap_nAGQ1,992.7884149,0.540774308,0.890641143,0.671911955,0.098931845,-0.032872672,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.015599966
1,30,10,R: LRT,0,0,0.374912024,0.374912024,0,0,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.015599966
1,30,10,JuliaAIC_NeldMeader_AGP0,998.9984956,0.624699815,0.571113372,0.563,0.084507767,0.139483235,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0.015599966
1,30,10,JuliaAIC_bobyqa_AGP0,998.9984956,0.624704179,0.571076129,0.068,0.084321795,0.14814313,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0.015599966
1,30,10,JuliaAIC_NeldMeader_AGP1,998.9718146,0.62638358,0.550600141,2.054,0.084269935,0.148196637,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0.015599966
1,30,10,JuliaAIC_bobyqa_AGP1,998.9718148,0.6266029,0.550454577,0.359,0.084507884,0.139496892,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0.015599966
1,30,10,JuliaLRT,0,0,0.219356794,3.229,0,0,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0.015599966
2,30,10,NelderMead_nAGQ0,1001.702116,0.450989415,0.703413244,0.34366703,-0.120381063,-0.087216657,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0
2,30,10,NelderMead_nAGQ1,1001.692145,0.445856752,0.698013889,1.827719927,-0.122134946,-0.088522357,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0
2,30,10,Bobyqa_nAGQ0,1001.702116,0.450989415,0.703413244,0.327996016,-0.120381063,-0.087216657,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0
2,30,10,Bobyqa_nAGQ1,1001.692145,0.445856768,0.698015415,1.015385151,-0.122135055,-0.088522324,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0
2,30,10,nloptwrap_nAGQ0,1001.702117,0.450996214,0.703397842,0.165020943,-0.120378646,-0.087220739,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0
2,30,10,nloptwrap_nAGQ1,1001.692176,0.445958863,0.69506951,0.687469959,-0.122110599,-0.089434242,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0
2,30,10,R: LRT,0,0,0.524966955,0.524966955,0,0,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0
2,30,10,JuliaAIC_NeldMeader_AGP0,1017.860888,0.506297889,0.616841415,0.823,-0.127210121,0.118898531,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0
2,30,10,JuliaAIC_bobyqa_AGP0,1017.869707,0.495227357,0.617039687,0.078,-0.128823782,0.126066135,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0
2,30,10,JuliaAIC_NeldMeader_AGP1,1017.84359,0.494633264,0.598422081,2.164,-0.12813322,0.126302175,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0
2,30,10,JuliaAIC_bobyqa_AGP1,1017.834304,0.505486488,0.598089593,0.39,-0.128058708,0.118743091,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0
2,30,10,JuliaLRT,0,0,0.001795066,0.344,0,0,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0
3,30,10,NelderMead_nAGQ0,1006.167835,0.438764243,0.266970644,0.765444994,0.135378663,0.217032108,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0
3,30,10,NelderMead_nAGQ1,1006.158377,0.435046539,0.262738876,2.180830956,0.137051593,0.219061321,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0
3,30,10,Bobyqa_nAGQ0,1006.167835,0.438764243,0.266970644,0.718525171,0.135378663,0.217032108,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0
3,30,10,Bobyqa_nAGQ1,1006.158372,0.435017468,0.262714126,1.728906155,0.137059868,0.219071655,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0
3,30,10,nloptwrap_nAGQ0,1006.167845,0.438767664,0.266954489,0.267307997,0.135379477,0.217041311,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0
3,30,10,nloptwrap_nAGQ1,1006.16729,0.440315224,0.266601302,0.624831915,0.135379477,0.217041311,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0
3,30,10,R: LRT,0,0,0.28463006,0.28463006,0,0,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0
3,30,10,JuliaAIC_NeldMeader_AGP0,1032.233625,0.466885044,0.204718858,0.556,0.13603533,0.253318511,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0
3,30,10,JuliaAIC_bobyqa_AGP0,1032.233625,0.46688429,0.204730847,0.094,0.137654734,0.256362257,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0
3,30,10,JuliaAIC_NeldMeader_AGP1,1032.20456,0.462966228,0.202116372,3.344,0.137673149,0.256093097,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0
3,30,10,JuliaAIC_bobyqa_AGP1,1032.204562,0.462883747,0.202583846,0.328,0.136033812,0.253311678,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0
3,30,10,JuliaLRT,0,0,6.85E-05,0.328,0,0,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0
4,30,10,NelderMead_nAGQ0,951.1895825,0.829672482,0.225854834,0.328067064,-0.035381059,0.281150519,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.015621901
4,30,10,NelderMead_nAGQ1,951.1801019,0.827544554,0.219769028,1.405948162,-0.036002789,0.283906881,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.015621901
4,30,10,Bobyqa_nAGQ0,951.1895825,0.829672482,0.225854834,0.32804203,-0.035381059,0.281150519,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.015621901
4,30,10,Bobyqa_nAGQ1,951.1801019,0.827546709,0.219769605,1.046618938,-0.036002405,0.283906517,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.015621901
4,30,10,nloptwrap_nAGQ0,950.4622357,0.827086893,0.214436801,0.295758963,-0.035933295,0.288080615,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.015621901
4,30,10,nloptwrap_nAGQ1,950.4528756,0.828641556,0.209043931,0.765422821,-0.035785995,0.290791336,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.015621901
4,30,10,R: LRT,0,0,0.203076124,0.203076124,0,0,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0.015621901
4,30,10,JuliaAIC_NeldMeader_AGP0,972.3914021,0.781229034,0.142738281,0.833,-0.055799941,0.383950864,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0.015621901
4,30,10,JuliaAIC_bobyqa_AGP0,972.3914021,0.781227164,0.142723989,0.093,-0.056624102,0.391118197,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0.015621901
4,30,10,JuliaAIC_NeldMeader_AGP1,972.3423992,0.779180705,0.139497778,2.814,-0.053803384,0.390752584,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0.015621901
4,30,10,JuliaAIC_bobyqa_AGP1,972.3425915,0.789921185,0.139869497,1.115,-0.055800291,0.383963993,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0.015621901
4,30,10,JuliaLRT,0,0,0.00048692,0.791,0,0,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia,0.015621901
5,30,10,NelderMead_nAGQ0,1027.256416,0.631619245,0.210916567,0.312447071,-0.077057492,-0.217872289,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R,0
