n,ConditionsOfInterest,StandardValue1,StandardValue2,reps,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,power_Accuracy,power_Precision,power_Accuracy_Twolevel,power_Precision_Twolevel,Duration
10,2,5,8,40,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.09,1.0,0.13,367530 milliseconds
12,2,5,8,40,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.11,1.0,0.16,381760 milliseconds
14,2,5,8,40,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.18,1.0,0.21,468945 milliseconds
16,2,5,8,40,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.22,1.0,0.23,622556 milliseconds
18,2,5,8,40,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.17,1.0,0.28,691984 milliseconds
20,2,5,8,40,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.27,1.0,0.31,777622 milliseconds
10,2,5,8,40,-0.05,-0.05,0,0.108,0.1,0.1,0.1,0.98,0.09,0.98,0.12,311557 milliseconds
12,2,5,8,40,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.05,1.0,0.12,386645 milliseconds
14,2,5,8,40,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.09,1.0,0.12,468218 milliseconds
16,2,5,8,40,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.06,1.0,0.06,604812 milliseconds
18,2,5,8,40,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.11,1.0,0.08,675475 milliseconds
20,2,5,8,40,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.13,1.0,0.11,773242 milliseconds
10,2,5,8,40,-0.05,0.0,0,0.108,0.1,0.1,0.1,0.99,0.03,0.99,0.06,320948 milliseconds
12,2,5,8,40,-0.05,0.0,0,0.108,0.1,0.1,0.1,0.99,0.05,1.0,0.07,388527 milliseconds
14,2,5,8,40,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.04,1.0,0.05,445353 milliseconds
16,2,5,8,40,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.08,1.0,0.08,599072 milliseconds
18,2,5,8,40,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.04,1.0,0.06,660358 milliseconds
20,2,5,8,40,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.01,1.0,0.04,783034 milliseconds
10,2,5,8,40,-0.05,0.05,0,0.108,0.1,0.1,0.1,0.98,0.03,0.99,0.05,312015 milliseconds
12,2,5,8,40,-0.05,0.05,0,0.108,0.1,0.1,0.1,0.98,0.04,1.0,0.05,381210 milliseconds
14,2,5,8,40,-0.05,0.05,0,0.108,0.1,0.1,0.1,0.99,0.08,1.0,0.14,452713 milliseconds
16,2,5,8,40,-0.05,0.05,0,0.108,0.1,0.1,0.1,1.0,0.1,1.0,0.07,616620 milliseconds
18,2,5,8,40,-0.05,0.05,0,0.108,0.1,0.1,0.1,0.99,0.08,1.0,0.07,692959 milliseconds
20,2,5,8,40,-0.05,0.05,0,0.108,0.1,0.1,0.1,1.0,0.09,1.0,0.15,770435 milliseconds
10,2,5,8,40,-0.05,0.1,0,0.108,0.1,0.1,0.1,0.97,0.09,0.99,0.2,356252 milliseconds
12,2,5,8,40,-0.05,0.1,0,0.108,0.1,0.1,0.1,0.98,0.12,1.0,0.15,380856 milliseconds
14,2,5,8,40,-0.05,0.1,0,0.108,0.1,0.1,0.1,0.99,0.11,1.0,0.14,453018 milliseconds
16,2,5,8,40,-0.05,0.1,0,0.108,0.1,0.1,0.1,0.97,0.23,1.0,0.31,581388 milliseconds
18,2,5,8,40,-0.05,0.1,0,0.108,0.1,0.1,0.1,0.99,0.21,0.99,0.27,657415 milliseconds
20,2,5,8,40,-0.05,0.1,0,0.108,0.1,0.1,0.1,1.0,0.18,1.0,0.17,752237 milliseconds
10,2,5,8,40,-0.025,-0.1,0,0.108,0.1,0.1,0.1,0.49,0.06,0.47,0.11,328325 milliseconds
12,2,5,8,40,-0.025,-0.1,0,0.108,0.1,0.1,0.1,0.71,0.15,0.71,0.19,400650 milliseconds
14,2,5,8,40,-0.025,-0.1,0,0.108,0.1,0.1,0.1,0.87,0.17,0.88,0.17,455477 milliseconds
16,2,5,8,40,-0.025,-0.1,0,0.108,0.1,0.1,0.1,0.88,0.1,0.78,0.16,605664 milliseconds
18,2,5,8,40,-0.025,-0.1,0,0.108,0.1,0.1,0.1,0.88,0.2,0.86,0.2,693627 milliseconds
20,2,5,8,40,-0.025,-0.1,0,0.108,0.1,0.1,0.1,0.93,0.25,0.89,0.28,762791 milliseconds
10,2,5,8,40,-0.025,-0.05,0,0.108,0.1,0.1,0.1,0.55,0.12,0.55,0.14,328405 milliseconds
12,2,5,8,40,-0.025,-0.05,0,0.108,0.1,0.1,0.1,0.67,0.06,0.61,0.1,424158 milliseconds
14,2,5,8,40,-0.025,-0.05,0,0.108,0.1,0.1,0.1,0.8,0.06,0.79,0.09,462239 milliseconds
16,2,5,8,40,-0.025,-0.05,0,0.108,0.1,0.1,0.1,0.82,0.07,0.74,0.08,663702 milliseconds
18,2,5,8,40,-0.025,-0.05,0,0.108,0.1,0.1,0.1,0.91,0.13,0.87,0.13,704504 milliseconds
20,2,5,8,40,-0.025,-0.05,0,0.108,0.1,0.1,0.1,0.93,0.05,0.83,0.08,805033 milliseconds
