n,ConditionsOfInterest,StandardValue1,StandardValue2,reps,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,power_Accuracy,power_Precision,power_Accuracy_Twolevel,power_Precision_Twolevel,Duration
10,2,5,8,70,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.17,1.0,0.19,529091 milliseconds
12,2,5,8,70,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.23,1.0,0.28,689033 milliseconds
14,2,5,8,70,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.28,1.0,0.4,855436 milliseconds
16,2,5,8,70,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.25,1.0,0.31,953539 milliseconds
18,2,5,8,70,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.33,1.0,0.39,1098662 milliseconds
20,2,5,8,70,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.26,1.0,0.42,1187905 milliseconds
10,2,5,8,70,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.11,1.0,0.11,489605 milliseconds
12,2,5,8,70,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.07,1.0,0.11,675704 milliseconds
14,2,5,8,70,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.09,1.0,0.11,834276 milliseconds
16,2,5,8,70,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.08,1.0,0.13,1009218 milliseconds
18,2,5,8,70,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.12,1.0,0.14,1114183 milliseconds
20,2,5,8,70,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.1,1.0,0.14,1264380 milliseconds
10,2,5,8,70,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.02,1.0,0.05,500016 milliseconds
12,2,5,8,70,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.07,1.0,0.1,659442 milliseconds
14,2,5,8,70,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.03,1.0,0.03,813826 milliseconds
16,2,5,8,70,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.05,1.0,0.02,967672 milliseconds
18,2,5,8,70,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.02,1.0,0.05,1114299 milliseconds
20,2,5,8,70,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.03,1.0,0.07,1317146 milliseconds
10,2,5,8,70,-0.05,0.05,0,0.108,0.1,0.1,0.1,1.0,0.05,1.0,0.1,491821 milliseconds
12,2,5,8,70,-0.05,0.05,0,0.108,0.1,0.1,0.1,1.0,0.1,1.0,0.15,648756 milliseconds
14,2,5,8,70,-0.05,0.05,0,0.108,0.1,0.1,0.1,1.0,0.11,1.0,0.11,830566 milliseconds
16,2,5,8,70,-0.05,0.05,0,0.108,0.1,0.1,0.1,1.0,0.11,1.0,0.12,925518 milliseconds
18,2,5,8,70,-0.05,0.05,0,0.108,0.1,0.1,0.1,1.0,0.13,1.0,0.17,1019140 milliseconds
20,2,5,8,70,-0.05,0.05,0,0.108,0.1,0.1,0.1,1.0,0.09,1.0,0.1,1157391 milliseconds
