"","value","label","reps","PSE_Difference","JND_Difference","StandardValues","nStandardValues","TrialsPerSubject","SD_ResponseFunction","Mean_Variability_Between","SD_Variability_Between","nSubjects"
"1",1,"Accuracy GLMM",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,10
"2",0.28,"Precision GLMM",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,10
"3",0.855,"Accuracy Two-Level",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,10
"4",0.165,"Precision Two-Level",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,10
"5",1,"Accuracy Two-Level LMM",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,10
"6",0.185,"Precision Two-Level LMM",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,10
"7",0.055,"Accuracy GLMM Only Intercepts",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,10
"8",0.365,"Precision GLMM Only Intercepts",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,10
"9",1,"Accuracy GLMM",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,12
"10",0.27,"Precision GLMM",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,12
"11",0.945,"Accuracy Two-Level",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,12
"12",0.205,"Precision Two-Level",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,12
"13",0.99,"Accuracy Two-Level LMM",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,12
"14",0.225,"Precision Two-Level LMM",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,12
"15",0.065,"Accuracy GLMM Only Intercepts",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,12
"16",0.395,"Precision GLMM Only Intercepts",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,12
"17",1,"Accuracy GLMM",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,14
"18",0.435,"Precision GLMM",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,14
"19",0.975,"Accuracy Two-Level",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,14
"20",0.195,"Precision Two-Level",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,14
"21",0.99,"Accuracy Two-Level LMM",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,14
"22",0.23,"Precision Two-Level LMM",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,14
"23",0.06,"Accuracy GLMM Only Intercepts",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,14
"24",0.45,"Precision GLMM Only Intercepts",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,14
"25",1,"Accuracy GLMM",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,16
"26",0.43,"Precision GLMM",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,16
"27",0.975,"Accuracy Two-Level",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,16
"28",0.26,"Precision Two-Level",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,16
"29",0.985,"Accuracy Two-Level LMM",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,16
"30",0.275,"Precision Two-Level LMM",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,16
"31",0.065,"Accuracy GLMM Only Intercepts",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,16
"32",0.435,"Precision GLMM Only Intercepts",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,16
"33",1,"Accuracy GLMM",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,18
"34",0.465,"Precision GLMM",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,18
"35",0.995,"Accuracy Two-Level",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,18
"36",0.27,"Precision Two-Level",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,18
"37",0.995,"Accuracy Two-Level LMM",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,18
"38",0.285,"Precision Two-Level LMM",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,18
"39",0.06,"Accuracy GLMM Only Intercepts",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,18
"40",0.56,"Precision GLMM Only Intercepts",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,18
"41",1,"Accuracy GLMM",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,20
"42",0.485,"Precision GLMM",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,20
"43",0.99,"Accuracy Two-Level",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,20
"44",0.27,"Precision Two-Level",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,20
"45",0.995,"Accuracy Two-Level LMM",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,20
"46",0.28,"Precision Two-Level LMM",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,20
"47",0.055,"Accuracy GLMM Only Intercepts",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,20
"48",0.58,"Precision GLMM Only Intercepts",25,0.1,0.2,"24",2,100,0.1,0.1,0.1,20
