n,ConditionsOfInterest,StandardValue1,StandardValue2,reps,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,power_Accuracy,power_Precision,power_Accuracy_Twolevel,power_Precision_Twolevel,Duration
10,2,5,8,70,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.19,1.0,0.3,375952 milliseconds
12,2,5,8,70,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.27,1.0,0.25,433629 milliseconds
14,2,5,8,70,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.45,1.0,0.4,516643 milliseconds
16,2,5,8,70,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.42,1.0,0.41,614981 milliseconds
18,2,5,8,70,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.41,1.0,0.33,680043 milliseconds
20,2,5,8,70,-0.05,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.48,1.0,0.53,770016 milliseconds
10,2,5,8,70,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.1,1.0,0.11,340788 milliseconds
12,2,5,8,70,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.14,1.0,0.1,433025 milliseconds
14,2,5,8,70,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.18,1.0,0.15,514329 milliseconds
16,2,5,8,70,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.16,1.0,0.1,579865 milliseconds
18,2,5,8,70,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.27,1.0,0.16,660247 milliseconds
20,2,5,8,70,-0.05,-0.05,0,0.108,0.1,0.1,0.1,1.0,0.27,1.0,0.11,739488 milliseconds
10,2,5,8,70,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.07,1.0,0.06,344825 milliseconds
12,2,5,8,70,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.06,1.0,0.04,421013 milliseconds
14,2,5,8,70,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.1,1.0,0.1,513802 milliseconds
16,2,5,8,70,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.12,1.0,0.09,581018 milliseconds
18,2,5,8,70,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.16,1.0,0.09,672317 milliseconds
20,2,5,8,70,-0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.14,1.0,0.08,731457 milliseconds
